sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,element,xpath
346,5,A,,bus:Transaction Header Identifier Reference Contact Active,,0..1,,"Boolean to indicate whether the contact is active (=""true"") or inactive (=""false"")",bus,bus:Contact,BU08c_09,/BT30a/BT31a/BT27a/BU08c/BU08c_09,$.btx:Business Transactions.btx:Transaction_ Header.btx:Header_ Identifier Reference.bus:Contact.bus:Header Identifier Reference Contact Active,BtxbTran.BtxtHedr.BtxhIdnrRefr.Busc.BushIdnrRefrContActv,担当者有効性,担当者が有効か無効かを示すブール値。,bus:transactionHeaderIdentifierReferenceContactActive,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderIdentifierReference/bus:transactionHeaderIdentifierReferenceContact/bus:transactionHeaderIdentifierReferenceContactActive
347,5,C,,bus:Transaction Header Identifier Reference Contact Phone,,0..*,,"Phone number information, as a specialisation of Communication.",bus,bus:Phone,BU02d,/BT30a/BT31a/BT27a/BU08c/BU02d,$.btx:Business Transactions.btx:Transaction_ Header.btx:Header_ Identifier Reference.bus:Contact.bus:Phone,BtxbTran.BtxtHedr.BtxhIdnrRefr.Busc.Busp,【電話番号】,電話番号情報（通信手段の特化）。,bus:transactionHeaderIdentifierReferenceContactPhone,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderIdentifierReference/bus:transactionHeaderIdentifierReferenceContact/bus:transactionHeaderIdentifierReferenceContactPhone
348,6,A,,bus:Transaction Header Identifier Reference Contact Phone URI,,0..1,,"The Uniform Resource Identifier (URI), such as a web or an email address, for this communication.",bus,bus:Phone,BU02d_01,/BT30a/BT31a/BT27a/BU08c/BU02d/BU02d_01,$.btx:Business Transactions.btx:Transaction_ Header.btx:Header_ Identifier Reference.bus:Contact.bus:Phone.bus:Contact Phone URI Identifier,BtxbTran.BtxtHedr.BtxhIdnrRefr.Busc.Busp.BuscPhonUriIdnr,URI,メールアドレスやWebアドレス等のURI。,bus:transactionHeaderIdentifierReferenceContactPhoneUri,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderIdentifierReference/bus:transactionHeaderIdentifierReferenceContact/bus:transactionHeaderIdentifierReferenceContactPhone/bus:transactionHeaderIdentifierReferenceContactPhoneUri
349,6,A,,bus:Transaction Header Identifier Reference Contact Phone Channel Code,,0..1,,"A code specifying the communication channel or medium through which contact information is provided or used.
This code identifies the type of communication mechanism associated with a contact point, in accordance with UN/EDIFACT Data Element 3155 – Communication means type code. It enables consistent interpretation of contact details across systems and jurisdictions.
Examples (non-exhaustive):
TE (Telephone) Voice or data communication via a telephone network.
FX (Telefax) Transmission of documents via facsimile equipment.
EM (Electronic mail) Communication using electronic mail (email). 
The Channel Code is used in conjunction with the corresponding communication identifier (e.g. phone number, fax number, or email address) and supports extensibility for additional communication types as defined by applicable code lists or jurisdictional requirements.",bus,bus:Phone,BU02d_02,/BT30a/BT31a/BT27a/BU08c/BU02d/BU02d_02,$.btx:Business Transactions.btx:Transaction_ Header.btx:Header_ Identifier Reference.bus:Contact.bus:Phone.bus:Contact Phone Channel Code,BtxbTran.BtxtHedr.BtxhIdnrRefr.Busc.Busp.BuscPhonChanCod,通信チャネルコード,"連絡先情報が提供または使用される通信チャネルまたは媒体を指定するコード。
このコードは、UN/EDIFACTデータ要素3155「通信手段種別コード」に基づき、連絡先に関連付けられた通信手段の種類を識別する。これにより、システムや管轄区域をまたいで連絡先情報を一貫して解釈できる。
例（これらに限定されません）：
TE(電話)　電話網を介した音声またはデータ通信。
FX(テレファックス)　ファクシミリ機器を介した文書の送信。
EM(電子メール)　電子メール（Eメール）を使用した通信。
チャネルコードは、対応する通信識別子（電話番号、FAX番号、Eメールアドレスなど）と組み合わせて使用​​され、該当するコードリストまたは管轄区域の要件で定義されている追加の通信種別への拡張性をサポートする。",bus:transactionHeaderIdentifierReferenceContactPhoneChannelCode,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderIdentifierReference/bus:transactionHeaderIdentifierReferenceContact/bus:transactionHeaderIdentifierReferenceContactPhone/bus:transactionHeaderIdentifierReferenceContactPhoneChannelCode
350,6,A,,bus:Transaction Header Identifier Reference Contact Phone Complete Number,,0..1,,The text string of characters that make up the complete number for this communication.,bus,bus:Phone,BU02d_03,/BT30a/BT31a/BT27a/BU08c/BU02d/BU02d_03,$.btx:Business Transactions.btx:Transaction_ Header.btx:Header_ Identifier Reference.bus:Contact.bus:Phone.bus:Contact Phone Complete Number,BtxbTran.BtxtHedr.BtxhIdnrRefr.Busc.Busp.BuscPhonCompNumb,通信番号（完全）,国番号・市外局番等を含む完全な番号文字列（電話番号、FAX番号等）。,bus:transactionHeaderIdentifierReferenceContactPhoneCompleteNumber,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderIdentifierReference/bus:transactionHeaderIdentifierReferenceContact/bus:transactionHeaderIdentifierReferenceContactPhone/bus:transactionHeaderIdentifierReferenceContactPhoneCompleteNumber
351,6,A,,bus:Transaction Header Identifier Reference Contact Phone Use Code,,0..1,,"The code specifying the usage or purpose of this communication, such as main, investor-relations, direct. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",bus,bus:Phone,BU02d_04,/BT30a/BT31a/BT27a/BU08c/BU02d/BU02d_04,$.btx:Business Transactions.btx:Transaction_ Header.btx:Header_ Identifier Reference.bus:Contact.bus:Phone.bus:Contact Phone Use Code,BtxbTran.BtxtHedr.BtxhIdnrRefr.Busc.Busp.BuscPhonUseCod,通信用途コード,"代表、IR用などの通信用途コード。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",bus:transactionHeaderIdentifierReferenceContactPhoneUseCode,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderIdentifierReference/bus:transactionHeaderIdentifierReferenceContact/bus:transactionHeaderIdentifierReferenceContactPhone/bus:transactionHeaderIdentifierReferenceContactPhoneUseCode
352,5,C,,bus:Transaction Header Identifier Reference Contact Fax,,0..*,,Fax number information.,bus,bus:Fax,BU03d,/BT30a/BT31a/BT27a/BU08c/BU03d,$.btx:Business Transactions.btx:Transaction_ Header.btx:Header_ Identifier Reference.bus:Contact.bus:Fax,BtxbTran.BtxtHedr.BtxhIdnrRefr.Busc.Busf,【FAX番号】,FAX番号情報。,bus:transactionHeaderIdentifierReferenceContactFax,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderIdentifierReference/bus:transactionHeaderIdentifierReferenceContact/bus:transactionHeaderIdentifierReferenceContactFax
353,6,A,,bus:Transaction Header Identifier Reference Contact Fax URI,,0..1,,"The Uniform Resource Identifier (URI), such as a web or an email address, for this communication.",bus,bus:Fax,BU03d_01,/BT30a/BT31a/BT27a/BU08c/BU03d/BU03d_01,$.btx:Business Transactions.btx:Transaction_ Header.btx:Header_ Identifier Reference.bus:Contact.bus:Fax.bus:Contact Fax URI Identifier,BtxbTran.BtxtHedr.BtxhIdnrRefr.Busc.Busf.BuscFaxUriIdnr,URI,メールアドレスやWebアドレス等のURI。,bus:transactionHeaderIdentifierReferenceContactFaxUri,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderIdentifierReference/bus:transactionHeaderIdentifierReferenceContact/bus:transactionHeaderIdentifierReferenceContactFax/bus:transactionHeaderIdentifierReferenceContactFaxUri
354,6,A,,bus:Transaction Header Identifier Reference Contact Fax Channel Code,,0..1,,"A code specifying the communication channel or medium through which contact information is provided or used.
This code identifies the type of communication mechanism associated with a contact point, in accordance with UN/EDIFACT Data Element 3155 – Communication means type code. It enables consistent interpretation of contact details across systems and jurisdictions.
Examples (non-exhaustive):
TE (Telephone) Voice or data communication via a telephone network.
FX (Telefax) Transmission of documents via facsimile equipment.
EM (Electronic mail) Communication using electronic mail (email). 
The Channel Code is used in conjunction with the corresponding communication identifier (e.g. phone number, fax number, or email address) and supports extensibility for additional communication types as defined by applicable code lists or jurisdictional requirements.",bus,bus:Fax,BU03d_02,/BT30a/BT31a/BT27a/BU08c/BU03d/BU03d_02,$.btx:Business Transactions.btx:Transaction_ Header.btx:Header_ Identifier Reference.bus:Contact.bus:Fax.bus:Contact Fax Channel Code,BtxbTran.BtxtHedr.BtxhIdnrRefr.Busc.Busf.BuscFaxChanCod,通信チャネルコード,"連絡先情報が提供または使用される通信チャネルまたは媒体を指定するコード。
このコードは、UN/EDIFACTデータ要素3155「通信手段種別コード」に基づき、連絡先に関連付けられた通信手段の種類を識別する。これにより、システムや管轄区域をまたいで連絡先情報を一貫して解釈できる。
例（これらに限定されません）：
TE(電話)　電話網を介した音声またはデータ通信。
FX(テレファックス)　ファクシミリ機器を介した文書の送信。
EM(電子メール)　電子メール（Eメール）を使用した通信。
チャネルコードは、対応する通信識別子（電話番号、FAX番号、Eメールアドレスなど）と組み合わせて使用​​され、該当するコードリストまたは管轄区域の要件で定義されている追加の通信種別への拡張性をサポートする。",bus:transactionHeaderIdentifierReferenceContactFaxChannelCode,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderIdentifierReference/bus:transactionHeaderIdentifierReferenceContact/bus:transactionHeaderIdentifierReferenceContactFax/bus:transactionHeaderIdentifierReferenceContactFaxChannelCode
355,6,A,,bus:Transaction Header Identifier Reference Contact Fax Complete Number,,0..1,,The text string of characters that make up the complete number for this communication.,bus,bus:Fax,BU03d_03,/BT30a/BT31a/BT27a/BU08c/BU03d/BU03d_03,$.btx:Business Transactions.btx:Transaction_ Header.btx:Header_ Identifier Reference.bus:Contact.bus:Fax.bus:Contact Fax Complete Number,BtxbTran.BtxtHedr.BtxhIdnrRefr.Busc.Busf.BuscFaxCompNumb,通信番号（完全）,国番号・市外局番等を含む完全な番号文字列（電話番号、FAX番号等）。,bus:transactionHeaderIdentifierReferenceContactFaxCompleteNumber,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderIdentifierReference/bus:transactionHeaderIdentifierReferenceContact/bus:transactionHeaderIdentifierReferenceContactFax/bus:transactionHeaderIdentifierReferenceContactFaxCompleteNumber
356,6,A,,bus:Transaction Header Identifier Reference Contact Fax Use Code,,0..1,,"The code specifying the usage or purpose of this communication, such as main, investor-relations, direct. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",bus,bus:Fax,BU03d_04,/BT30a/BT31a/BT27a/BU08c/BU03d/BU03d_04,$.btx:Business Transactions.btx:Transaction_ Header.btx:Header_ Identifier Reference.bus:Contact.bus:Fax.bus:Contact Fax Use Code,BtxbTran.BtxtHedr.BtxhIdnrRefr.Busc.Busf.BuscFaxUseCod,通信用途コード,"代表、IR用などの通信用途コード。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",bus:transactionHeaderIdentifierReferenceContactFaxUseCode,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderIdentifierReference/bus:transactionHeaderIdentifierReferenceContact/bus:transactionHeaderIdentifierReferenceContactFax/bus:transactionHeaderIdentifierReferenceContactFaxUseCode
357,5,C,,bus:Transaction Header Identifier Reference Contact Email,,0..*,,Email address information.,bus,bus:Email,BU04d,/BT30a/BT31a/BT27a/BU08c/BU04d,$.btx:Business Transactions.btx:Transaction_ Header.btx:Header_ Identifier Reference.bus:Contact.bus:Email,BtxbTran.BtxtHedr.BtxhIdnrRefr.Busc.Busm,【Eメールアドレス】,Eメールアドレス情報。,bus:transactionHeaderIdentifierReferenceContactEmail,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderIdentifierReference/bus:transactionHeaderIdentifierReferenceContact/bus:transactionHeaderIdentifierReferenceContactEmail
358,6,A,,bus:Transaction Header Identifier Reference Contact Email URI,,0..1,,"The Uniform Resource Identifier (URI), such as a web or an email address, for this communication.",bus,bus:Email,BU04d_01,/BT30a/BT31a/BT27a/BU08c/BU04d/BU04d_01,$.btx:Business Transactions.btx:Transaction_ Header.btx:Header_ Identifier Reference.bus:Contact.bus:Email.bus:Contact Email URI Identifier,BtxbTran.BtxtHedr.BtxhIdnrRefr.Busc.Busm.BuscEmlUriIdnr,URI,メールアドレスやWebアドレス等のURI。,bus:transactionHeaderIdentifierReferenceContactEmailUri,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderIdentifierReference/bus:transactionHeaderIdentifierReferenceContact/bus:transactionHeaderIdentifierReferenceContactEmail/bus:transactionHeaderIdentifierReferenceContactEmailUri
359,6,A,,bus:Transaction Header Identifier Reference Contact Email Channel Code,,0..1,,"A code specifying the communication channel or medium through which contact information is provided or used.
This code identifies the type of communication mechanism associated with a contact point, in accordance with UN/EDIFACT Data Element 3155 – Communication means type code. It enables consistent interpretation of contact details across systems and jurisdictions.
Examples (non-exhaustive):
TE (Telephone) Voice or data communication via a telephone network.
FX (Telefax) Transmission of documents via facsimile equipment.
EM (Electronic mail) Communication using electronic mail (email). 
The Channel Code is used in conjunction with the corresponding communication identifier (e.g. phone number, fax number, or email address) and supports extensibility for additional communication types as defined by applicable code lists or jurisdictional requirements.",bus,bus:Email,BU04d_02,/BT30a/BT31a/BT27a/BU08c/BU04d/BU04d_02,$.btx:Business Transactions.btx:Transaction_ Header.btx:Header_ Identifier Reference.bus:Contact.bus:Email.bus:Contact Email Channel Code,BtxbTran.BtxtHedr.BtxhIdnrRefr.Busc.Busm.BuscEmlChanCod,通信チャネルコード,"連絡先情報が提供または使用される通信チャネルまたは媒体を指定するコード。
このコードは、UN/EDIFACTデータ要素3155「通信手段種別コード」に基づき、連絡先に関連付けられた通信手段の種類を識別する。これにより、システムや管轄区域をまたいで連絡先情報を一貫して解釈できる。
例（これらに限定されません）：
TE(電話)　電話網を介した音声またはデータ通信。
FX(テレファックス)　ファクシミリ機器を介した文書の送信。
EM(電子メール)　電子メール（Eメール）を使用した通信。
チャネルコードは、対応する通信識別子（電話番号、FAX番号、Eメールアドレスなど）と組み合わせて使用​​され、該当するコードリストまたは管轄区域の要件で定義されている追加の通信種別への拡張性をサポートする。",bus:transactionHeaderIdentifierReferenceContactEmailChannelCode,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderIdentifierReference/bus:transactionHeaderIdentifierReferenceContact/bus:transactionHeaderIdentifierReferenceContactEmail/bus:transactionHeaderIdentifierReferenceContactEmailChannelCode
360,6,A,,bus:Transaction Header Identifier Reference Contact Email Complete Number,,0..1,,The text string of characters that make up the complete number for this communication.,bus,bus:Email,BU04d_03,/BT30a/BT31a/BT27a/BU08c/BU04d/BU04d_03,$.btx:Business Transactions.btx:Transaction_ Header.btx:Header_ Identifier Reference.bus:Contact.bus:Email.bus:Contact Email Complete Number,BtxbTran.BtxtHedr.BtxhIdnrRefr.Busc.Busm.BuscEmlCompNumb,通信番号（完全）,国番号・市外局番等を含む完全な番号文字列（電話番号、FAX番号等）。,bus:transactionHeaderIdentifierReferenceContactEmailCompleteNumber,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderIdentifierReference/bus:transactionHeaderIdentifierReferenceContact/bus:transactionHeaderIdentifierReferenceContactEmail/bus:transactionHeaderIdentifierReferenceContactEmailCompleteNumber
361,6,A,,bus:Transaction Header Identifier Reference Contact Email Use Code,,0..1,,"The code specifying the usage or purpose of this communication, such as main, investor-relations, direct. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",bus,bus:Email,BU04d_04,/BT30a/BT31a/BT27a/BU08c/BU04d/BU04d_04,$.btx:Business Transactions.btx:Transaction_ Header.btx:Header_ Identifier Reference.bus:Contact.bus:Email.bus:Contact Email Use Code,BtxbTran.BtxtHedr.BtxhIdnrRefr.Busc.Busm.BuscEmlUseCod,通信用途コード,"代表、IR用などの通信用途コード。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",bus:transactionHeaderIdentifierReferenceContactEmailUseCode,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderIdentifierReference/bus:transactionHeaderIdentifierReferenceContact/bus:transactionHeaderIdentifierReferenceContactEmail/bus:transactionHeaderIdentifierReferenceContactEmailUseCode
362,3,C,,btx:Transaction Header Detail,,0.*,, Parent class grouping transaction detail (line) level records.,btx,btx:Transaction_ Detail,BT32a,/BT30a/BT31a/BT32a,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail,BtxbTran.BtxtHedr.BtxtDetl,【取引行】,取引文書明細行。,btx:transactionHeaderDetail,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail
363,4,A,PK,btx:Transaction Header Detail Line Number Counter,,0..1,,Unique reference for the line - a numeric counter,btx,btx:Transaction_ Detail,BT32a_CO29_01,/BT30a/BT31a/BT32a/BT32a_CO29_01,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.cor:Transaction Detail Line Number Counter,BtxbTran.BtxtHedr.BtxtDetl.CortDetlLinNumbCont,明細行番号カウンタ,明細行の一意なリファレンス　　カウンタ,btx:transactionHeaderDetailLineNumberCounter,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/btx:transactionHeaderDetailLineNumberCounter
364,4,A,,btx:Transaction Header Detail Line Number,,0..1,,Identifier for a particular entry detail,btx,btx:Transaction_ Detail,BT32a_CO29_02,/BT30a/BT31a/BT32a/BT32a_CO29_02,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.cor:Transaction Detail Line Number,BtxbTran.BtxtHedr.BtxtDetl.CortDetlLinNumb,明細行番号,仕訳明細の識別子。,btx:transactionHeaderDetailLineNumber,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/btx:transactionHeaderDetailLineNumber
365,4,A,,btx:Transaction Header Detail Posting Date,,0..1,,"At the detail level, this represents the accounting significance date. No matter what date the document is received, entered, or posted, this signifies the accounting date of the entry. If you want to see the financial results for March 5, 2002 and this entry is given that date, the entry will be part of the results for March 5, 2002. This is different from the postedDate found at the entryHeader level. If you want the accounting significance to be a particular date, it goes here. A single entry could represent multiple dates, but would only be posted on one date.",btx,btx:Transaction_ Detail,BT32a_CO29_03,/BT30a/BT31a/BT32a/BT32a_CO29_03,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.cor:Transaction Detail Posting Date,BtxbTran.BtxtHedr.BtxtDetl.CortDetlPostDat,転記日付,明細レベルで、会計上意義のある日付を示す。ドキュメントの受領、入力、転記の日付に関わらず、仕訳が会計処理された日付を示す。2002.03.05の財務結果を見たいときに、ここにその日付がある場合は、この明細は2002.03.05の結果の一部である。これは、entryHeaderにあるpostedDateとは異なる。特定の日付を会計上意義のある日付にしたいなら、ここに記述する。ひとつの仕訳が複数の日付をあらわせるが、ひとつの日でのみ転記される。,btx:transactionHeaderDetailPostingDate,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/btx:transactionHeaderDetailPostingDate
366,4,A,,btx:Transaction Header Detail Memo Line,,0..1,,A boolean like entry that indicates whether an entryDetail line has been provided solely to provide additional details and that tools should not consider the amount in postings.,btx,btx:Transaction_ Detail,BT32a_BU41_04,/BT30a/BT31a/BT32a/BT32a_BU41_04,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Transaction Detail Memo Line,BtxbTran.BtxtHedr.BtxtDetl.BustDetlMemLin,メモ行フラグ,明細行が単に追加の詳細を与えるものであり、転記金額に含めるべきでないことを示すブール値。,btx:transactionHeaderDetailMemoLine,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/btx:transactionHeaderDetailMemoLine
367,4,A,,btx:Transaction Header Detail Document Type,,0..1,,"An enumerated field describing the original source document, with check, debit-memo, credit-memo, finance-charge, invoice, order-customer, order-vendor, payment-other, reminder, tegata, voucher, shipment, receipt, manual-adjustment, other.",btx,btx:Transaction_ Detail,BT32a_CO29_05,/BT30a/BT31a/BT32a/BT32a_CO29_05,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.cor:Transaction Detail Document Type,BtxbTran.BtxtHedr.BtxtDetl.CortDetlDocmType,元文書種別,"小切手、借方メモ、貸方メモ、財務費用、顧客への請求書、顧客オーダー、仕入先オーダー、その他支払い、督促状、手形、ベンダからの請求書、出荷票、受領票、手修正、その他の列挙値による、元文書の説明。[設定値のリスト]
 (check：小切手)、(debit-memo：借方メモ)、(credit-memo：貸方メモ)、(finance-charge：財務費用)、(invoice：顧客への請求書)、(order-customer：顧客オーダ)、(order-vendor：仕入先オーダ)、(payment-other：その他支払い)、(reminder：督促状)、(tegata：手形)、(voucher：ベンダからの請求書)、(shipment：出荷票)、(receipt：受領票)、(manual-adjustment：手修正)、(other：その他)",btx:transactionHeaderDetailDocumentType,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/btx:transactionHeaderDetailDocumentType
368,4,A,,btx:Transaction Header Detail Document Type Description,,0..1,,Free format description of the document type,btx,btx:Transaction_ Detail,BT32a_CO29_06,/BT30a/BT31a/BT32a/BT32a_CO29_06,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.cor:Transaction Detail Document Type Description,BtxbTran.BtxtHedr.BtxtDetl.CortDetlDocmTypeDesc,元文書種別説明,元文書の種別の説明。,btx:transactionHeaderDetailDocumentTypeDescription,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/btx:transactionHeaderDetailDocumentTypeDescription
369,4,A,,btx:Transaction Header Detail Document Number,,0..1,,"Invoice, check, voucher, or other source document identifier",btx,btx:Transaction_ Detail,BT32a_CO29_07,/BT30a/BT31a/BT32a/BT32a_CO29_07,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.cor:Transaction Detail Document Number,BtxbTran.BtxtHedr.BtxtDetl.CortDetlDocmNumb,元文書番号,請求書、小切手、証憑、その他の元文書の識別子。,btx:transactionHeaderDetailDocumentNumber,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/btx:transactionHeaderDetailDocumentNumber
370,4,A,,btx:Transaction Header Detail Apply To Number,,0..1,,"Document number of primary invoice number, used to offset payments, debits and credits; for an invoice, usually the same as the documentNumber. When calculating open balance on an invoice, or open amount on payments in advance or not fully applied, this permits calculation of the open item.",btx,btx:Transaction_ Detail,BT32a_CO29_08,/BT30a/BT31a/BT32a/BT32a_CO29_08,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.cor:Transaction Detail Apply To Number,BtxbTran.BtxtHedr.BtxtDetl.CortDetlAppyNumb,適用先番号,"支払、借方、貸方の相殺に使用される、一次請求書の文書番号。請求書では通常documentNumberと等しい。
未決済の請求書残高や、未決済の支払金額の計算時に、利用できる。",btx:transactionHeaderDetailApplyToNumber,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/btx:transactionHeaderDetailApplyToNumber
371,4,A,,btx:Transaction Header Detail Document Reference,,0..1,,Internal reference for the document above; number assigned internally to track the document,btx,btx:Transaction_ Detail,BT32a_CO29_09,/BT30a/BT31a/BT32a/BT32a_CO29_09,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.cor:Transaction Detail Document Reference,BtxbTran.BtxtHedr.BtxtDetl.CortDetlDocmRefr,元文書参照情報,上の文書のための内部参照情報。文書を追跡するために内部的に割り当てた番号。,btx:transactionHeaderDetailDocumentReference,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/btx:transactionHeaderDetailDocumentReference
372,4,A,,btx:Transaction Header Detail Document Date,,0..1,,"Date (and less likely in the paper world but possible in the e-world, time) on actual document (invoice, voucher, check date). Other dates control posting information.",btx,btx:Transaction_ Detail,BT32a_CO29_10,/BT30a/BT31a/BT32a/BT32a_CO29_10,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.cor:Transaction Detail Document Date,BtxbTran.BtxtHedr.BtxtDetl.CortDetlDocmDat,元文書日付,実際の文書（請求書、証憑、小切手）の日付（および、紙の世界ではありそうにないが、電子的には時刻）。 転記の情報は別の日付で管理する。,btx:transactionHeaderDetailDocumentDate,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/btx:transactionHeaderDetailDocumentDate
373,4,A,,btx:Transaction Header Detail Received Date,,0..1,,Date/time document was noted as received (if necessary). Represents actual date received. Posting dates are maintained separately.,btx,btx:Transaction_ Detail,BT32a_BU41_11,/BT30a/BT31a/BT32a/BT32a_BU41_11,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Transaction Detail Received Date,BtxbTran.BtxtHedr.BtxtDetl.BustDetlRecvDat,元文書受領日付,（必要であれば）文書の受領が記録された日付/時刻。実際に受領された日付をあらわす。転記日付は別に管理される。,btx:transactionHeaderDetailReceivedDate,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/btx:transactionHeaderDetailReceivedDate
374,4,A,,btx:Transaction Header Detail Document Location,,0..1,,"Document location as URI, file name or other reference. Alternatively, text of document can be placed here.",btx,btx:Transaction_ Detail,BT32a_BU41_12,/BT30a/BT31a/BT32a/BT32a_BU41_12,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.bus:Transaction Detail Document Location,BtxbTran.BtxtHedr.BtxtDetl.BustDetlDocmLoct,元文書格納場所,文書の格納場所である、URI、ファイル名またはその他の参照情報。代わりに、文書のテキストも記述可能。,btx:transactionHeaderDetailDocumentLocation,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/btx:transactionHeaderDetailDocumentLocation
375,4,A,,btx:Transaction Header Detail Posting Status,,0..1,,"deferred: although entered, it cannot be posted until a later time
posted: already posted
proposed: a proposed item that must be approved
simulated: a simulated item, for what-if
tax: a tax-specific entry
unposted:entered but not yet posted or validated
cancelled:entered and later cancelled
other:other status - should be described in postingStatusDescription",btx,btx:Transaction_ Detail,BT32a_CO29_13,/BT30a/BT31a/BT32a/BT32a_CO29_13,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.cor:Transaction Detail Posting Status,BtxbTran.BtxtHedr.BtxtDetl.CortDetlPostStat,転記状態,"据置：入力されたが、まだ転記できない。
転記済：転記済み。
提案済：検証が必要な項目。
シミュレーション：仮定のためにシミュレートされた項目。
税：税項目。
未転記：入力されたが、まだ検証も転記もされていない。
取消済：入力されたが、取り消された。
その他：その他の状態。postingStatusDescriptionで説明されるべき。
[設定値のリスト]
(deferred：据置)、(posted：転記済)、(proposed：提案済)、(simulated：シミュレーション)、(tax：税)、(unposted：未転記)、(cancelled：取消済)、(other：その他)",btx:transactionHeaderDetailPostingStatus,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/btx:transactionHeaderDetailPostingStatus
376,4,A,,btx:Transaction Header Detail Posting Status Description,,0..1,,Free format description of the posting status,btx,btx:Transaction_ Detail,BT32a_CO29_14,/BT30a/BT31a/BT32a/BT32a_CO29_14,$.btx:Business Transactions.btx:Transaction_ Header.btx:Transaction_ Detail.cor:Transaction Detail Posting Status Description,BtxbTran.BtxtHedr.BtxtDetl.CortDetlPostStatDesc,転記状態説明,転記状態の説明。,btx:transactionHeaderDetailPostingStatusDescription,/btx:businessTransactions/btx:transactionHeader/btx:transactionHeaderDetail/btx:transactionHeaderDetailPostingStatusDescription
