name,B,category,seq,account_name,amount,type,level,Ledger_Account_Number,English_Label
　　　　　開発事業等支出金,0,流動資産,,開発事業等支出金,,1,5,10A100460,Development projects in progress
　　　　　不動産事業支出金,0,流動資産,,不動産事業支出金,,1,5,10A100470,Costs on real estate business
　　　　　未成業務支出金,0,流動資産,,未成業務支出金,,1,5,10A100480,Costs on service contracts in progress
　　　　　分譲土地建物,0,流動資産,,分譲土地建物,,1,5,10A100490,Land and buildings for sale in lots
　　　　　分譲土地,0,流動資産,,分譲土地,,1,5,10A100500,Land for sale in lots
　　　　　その他のたな卸資産,0,流動資産,,その他のたな卸資産,,1,5,10A100510,Other inventories
　　　　前渡金,0,流動資産,,前渡金,,1,4,10A100520,Advance payments - trade
　　　　前払金,0,流動資産,,前払金,,1,4,10A100530,Advance payments - other
　　　　前払費用,0,流動資産,,前払費用,,1,4,10A100540,Prepaid expenses
　　　　未収収益,0,流動資産,,未収収益,,1,4,10A100550,Accrued income
　　　　　未収利息,0,流動資産,,未収利息,,1,5,10A100560,Accrued interest
　　　　その他の資産で1年内に現金化できると認められるもの,,流動資産,,その他の資産で1年内に現金化できると認められるもの,,T,4,10A100570,Other assets - encashed within one year
　　　　　株主、役員又は従業員に対する短期債権,0,流動資産,,株主、役員又は従業員に対する短期債権,,1,5,10A100580,"Short-term claims on shareholders, directors (and other officers) or employees"
　　　　　　貸倒引当金,0,流動資産,,貸倒引当金,,1,6,10A100590,Allowance for doubtful accounts
　　　　　　株主、役員又は従業員に対する短期債権（純額）,0,流動資産,,株主、役員又は従業員に対する短期債権（純額）,,1,6,10A100600,"Short-term claims on shareholders, directors (and other officers) or employees, net"
　　　　　短期貸付金,0,流動資産,,短期貸付金,,1,5,10A100610,Short-term loans receivable
　　　　　　貸倒引当金,0,流動資産,,貸倒引当金,,1,6,10A100620,Allowance for doubtful accounts
　　　　　　短期貸付金（純額）,0,流動資産,,短期貸付金（純額）,,1,6,10A100630,"Short-term loans receivable, net"
　　　　　関係会社短期貸付金,0,流動資産,,関係会社短期貸付金,,1,5,10A100640,Short-term loans receivable from subsidiaries and associates
　　　　　　貸倒引当金,0,流動資産,,貸倒引当金,,1,6,10A100650,Allowance for doubtful accounts
　　　　　　関係会社短期貸付金（純額）,0,流動資産,,関係会社短期貸付金（純額）,,1,6,10A100660,"Short-term loans receivable from subsidiaries and associates, net"
　　　　　未収入金,0,流動資産,,未収入金,,1,5,10A100670,Accounts receivable - other
　　　　　関係会社未収入金,0,流動資産,,関係会社未収入金,,1,5,10A100680,Accounts receivable from subsidiaries and associates - other
　　　　　未収消費税等,0,流動資産,,未収消費税等,,1,5,10A100690,Consumption taxes receivable
　　　　　未収還付法人税等,0,流動資産,,未収還付法人税等,,1,5,10A100700,Income taxes receivable
　　　　　営業外受取手形,0,流動資産,,営業外受取手形,,1,5,10A100710,Non-operating notes receivable
　　　　　営業外電子記録債権,0,流動資産,,営業外電子記録債権,,1,5,10A100720,Electronically recorded monetary claims - non-operating
　　　　　1年内回収予定の長期貸付金,0,流動資産,,1年内回収予定の長期貸付金,,1,5,10A100730,Current portion of long-term loans receivable
　　　　　1年内回収予定の関係会社長期貸付金,0,流動資産,,1年内回収予定の関係会社長期貸付金,,1,5,10A100740,Current portion of long-term loans receivable from subsidiaries and associates
　　　　　1年内回収予定の差入保証金,0,流動資産,,1年内回収予定の差入保証金,,1,5,10A100750,Current portion of guarantee deposits
　　　　　その他の未収入金,0,流動資産,,その他の未収入金,,1,5,10A100760,Other accounts receivable
　　　　　関係会社預け金,0,流動資産,,関係会社預け金,,1,5,10A100770,Deposits paid to subsidiaries and associates
　　　　　関係会社短期債権,0,流動資産,,関係会社短期債権,,1,5,10A100780,Short-term receivables from subsidiaries and associates
　　　　　金銭債権信託受益権,0,流動資産,,金銭債権信託受益権,,1,5,10A100790,Beneficial interests in receivables trust
　　　　　差入保証金,0,流動資産,,差入保証金,,1,5,10A100800,Guarantee deposits
　　　　　従業員に対する短期債権,0,流動資産,,従業員に対する短期債権,,1,5,10A100810,Short-term claims on employees
　　　　　従業員に対する短期貸付金,0,流動資産,,従業員に対する短期貸付金,,1,5,10A100820,Short-term loans receivable from employees
　　　　　信託受益権,0,流動資産,,信託受益権,,1,5,10A100830,Beneficial interests in trust
　　　　　立替金,0,流動資産,,立替金,,1,5,10A100840,Advances paid
　　　　　仮払金,0,流動資産,,仮払金,,1,5,10A100850,Suspense payments
　　　　　預け金,0,流動資産,,預け金,,1,5,10A100860,Deposits paid
　　　　リース債権,0,流動資産,,リース債権,,1,4,10A100870,Lease receivables
　　　　　貸倒引当金,0,流動資産,,貸倒引当金,,1,5,10A100880,Allowance for doubtful accounts
　　　　　リース債権（純額）,0,流動資産,,リース債権（純額）,,1,5,10A100890,"Lease receivables, net"
　　　　リース投資資産,0,流動資産,,リース投資資産,,1,4,10A100900,Investments in leases
　　　　　貸倒引当金,0,流動資産,,貸倒引当金,,1,5,10A100910,Allowance for doubtful accounts
　　　　　リース投資資産（純額）,0,流動資産,,リース投資資産（純額）,,1,5,10A100920,"Investments in leases, net"
　　　　リース債権及びリース投資資産,0,流動資産,,リース債権及びリース投資資産,,1,4,10A100930,Lease receivables and investments in leases
　　　　　貸倒引当金,0,流動資産,,貸倒引当金,,1,5,10A100940,Allowance for doubtful accounts
　　　　　リース債権及びリース投資資産（純額）,0,流動資産,,リース債権及びリース投資資産（純額）,,1,5,10A100950,"Lease receivables and investments in leases, net"
　　　　デリバティブ債権,0,流動資産,,デリバティブ債権,,1,4,10A100960,Derivatives
　　　　　為替予約,0,流動資産,,為替予約,,1,5,10A100970,Forward exchange contracts
　　　　　金利スワップ資産,0,流動資産,,金利スワップ資産,,1,5,10A100980,Interest rate swap assets
　　　　　金利スワップ,0,流動資産,,金利スワップ,,1,5,10A100990,Interest rate swaps
