sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local
1575,3,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",Sales,30,Currency,BS04ak,/SL06a_GE13_01/BS04ak,$.Sales Order Line.Order Line.(Tax Include Unit Price) Amount.Currency,SalOrdLnordLn.TaxInclUntPrcAmt.Cur,,
1576,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Sales,30,Currency,BS04ak_01,/SL06a_GE13_01/BS04ak_01,$.Sales Order Line.Order Line.(Tax Include Unit Price) Amount.Currency.Code,SalOrdLnordLn.TaxInclUntPrcAmt.Cur.Cd,,
1577,2,C,,(Transaction) Amount,,0..1,,A class that specifies a value of money in a given currency.,Sales,0,(Transaction) Amount,GE04aj,/SL06a_GE13_01/GE04aj,$.Sales Order Line.Order Line.(Transaction) Amount,SalOrdLnordLn.TrnscAmt,,
1578,3,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,Sales,0,(Transaction) Amount,GE04aj_01,/SL06a_GE13_01/GE04aj_01,$.Sales Order Line.Order Line.(Transaction) Amount.Value,SalOrdLnordLn.TrnscAmt.Val,,
1579,3,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",Sales,30,Currency,BS04al,/SL06a_GE13_01/BS04al,$.Sales Order Line.Order Line.(Transaction) Amount.Currency,SalOrdLnordLn.TrnscAmt.Cur,,
1580,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Sales,30,Currency,BS04al_01,/SL06a_GE13_01/BS04al_01,$.Sales Order Line.Order Line.(Transaction) Amount.Currency.Code,SalOrdLnordLn.TrnscAmt.Cur.Cd,,
1581,2,C,,Quantity,,0..1,,"A class that measures the extent, size, or amount of items, including the unit of measurement.",Sales,0,Quantity,GE14i,/SL06a_GE13_01/GE14i,$.Sales Order Line.Order Line.Quantity,SalOrdLnordLn.Qt,,
1582,3,A,,Value,Decimal,0..1,QUANTITY,The numerical amount of a specified item or resource.,Sales,0,Quantity,GE14i_01,/SL06a_GE13_01/GE14i_01,$.Sales Order Line.Order Line.Quantity.Value,SalOrdLnordLn.Qt.Val,,
1583,3,R,,Measurement Unit,,0..1,,"The reference association to the Measurement Unit class, which is a class documents the units of measure utilized across various business documents and accounting ledgers.",Sales,32,Measurement Unit,BS12i,/SL06a_GE13_01/BS12i,$.Sales Order Line.Order Line.Quantity.Measurement Unit,SalOrdLnordLn.Qt.MeaUnt,,
1584,4,A,REF,UOM Code,Identifier,1..1,MEASUREMENT UNIT CODE,The unique code for the unit of measure used in transactions.,Sales,32,Measurement Unit,BS12i_01,/SL06a_GE13_01/BS12i_01,$.Sales Order Line.Order Line.Quantity.Measurement Unit.UOM Code,SalOrdLnordLn.Qt.MeaUnt.UomCd,,
1585,2,C,,(Basic UOM) Quantity,,0..1,,"A class that measures the extent, size, or amount of items, including the unit of measurement.",Sales,0,(Basic UOM) Quantity,GE14j,/SL06a_GE13_01/GE14j,$.Sales Order Line.Order Line.(Basic UOM) Quantity,SalOrdLnordLn.BascUomQt,,
1586,3,A,,Value,Decimal,0..1,QUANTITY,The numerical amount of a specified item or resource.,Sales,0,(Basic UOM) Quantity,GE14j_01,/SL06a_GE13_01/GE14j_01,$.Sales Order Line.Order Line.(Basic UOM) Quantity.Value,SalOrdLnordLn.BascUomQt.Val,,
1587,3,R,,Measurement Unit,,0..1,,"The reference association to the Measurement Unit class, which is a class documents the units of measure utilized across various business documents and accounting ledgers.",Sales,32,Measurement Unit,BS12j,/SL06a_GE13_01/BS12j,$.Sales Order Line.Order Line.(Basic UOM) Quantity.Measurement Unit,SalOrdLnordLn.BascUomQt.MeaUnt,,
1588,4,A,REF,UOM Code,Identifier,1..1,MEASUREMENT UNIT CODE,The unique code for the unit of measure used in transactions.,Sales,32,Measurement Unit,BS12j_01,/SL06a_GE13_01/BS12j_01,$.Sales Order Line.Order Line.(Basic UOM) Quantity.Measurement Unit.UOM Code,SalOrdLnordLn.BascUomQt.MeaUnt.UomCd,,
1589,2,R,,Business Segment,,0..*,,"The reference association to the Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",Sales,4,Business Segment,BS02p,/SL06a_GE13_01/BS02p,$.Sales Order Line.Order Line.Business Segment,SalOrdLnordLn.BusSg,,
1590,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,Sales,4,Business Segment,BS02p_01,/SL06a_GE13_01/BS02p/BS02p_01,$.Sales Order Line.Order Line.Business Segment.Code,SalOrdLnordLn.BusSg.Cd,,
1591,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Sales,4,Business Segment,BS02p_03,/SL06a_GE13_01/BS02p/BS02p_03,$.Sales Order Line.Order Line.Business Segment.Segment Reference Level,SalOrdLnordLn.BusSg.SgRefLevl,,
1592,2,C,,Tax,,0..*,,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",Sales,0,Tax,GE15h,/SL06a_GE13_01/GE15h,$.Sales Order Line.Order Line.Tax,SalOrdLnordLn.Tx,,
1593,3,R,,(Credit) Ledger Account,,0..1,,"The reference association to the Credit Ledger Account class, which is a class stores information about General Ledger accounts.",Sales,20,(Credit) Ledger Account,BS10s,/SL06a_GE13_01/GE15h/BS10s,$.Sales Order Line.Order Line.Tax.(Credit) Ledger Account,SalOrdLnordLn.Tx.CrdtLedgrAcnt,,
1594,4,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",Sales,20,(Credit) Ledger Account,BS10s_01,/SL06a_GE13_01/GE15h/BS10s_01,$.Sales Order Line.Order Line.Tax.(Credit) Ledger Account.Account Number,SalOrdLnordLn.Tx.CrdtLedgrAcnt.AcntNr,,
1595,3,R,,(Debit) Ledger Account,,0..1,,"The reference association to the Debit Ledger Account class, which is a class stores information about General Ledger accounts.",Sales,20,(Debit) Ledger Account,BS10t,/SL06a_GE13_01/GE15h/BS10t,$.Sales Order Line.Order Line.Tax.(Debit) Ledger Account,SalOrdLnordLn.Tx.DebtLedgrAcnt,,
1596,4,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",Sales,20,(Debit) Ledger Account,BS10t_01,/SL06a_GE13_01/GE15h/BS10t_01,$.Sales Order Line.Order Line.Tax.(Debit) Ledger Account.Account Number,SalOrdLnordLn.Tx.DebtLedgrAcnt.AcntNr,,
1597,3,R,,Tax Type,,0..1,,"The reference association to the Tax Type class, which is a class outlining detailed classifications of tax types that the business encounters, supporting accurate tax reporting and compliance.",Sales,42,Tax Type,BS21h,/SL06a_GE13_01/GE15h/BS21h,$.Sales Order Line.Order Line.Tax.Tax Type,SalOrdLnordLn.Tx.TxTyp,,
1598,4,A,REF,Code,Identifier,1..1,TAX TYPE CODE,The unique code used to classify a tax type.,Sales,42,Tax Type,BS21h_01,/SL06a_GE13_01/GE15h/BS21h_01,$.Sales Order Line.Order Line.Tax.Tax Type.Code,SalOrdLnordLn.Tx.TxTyp.Cd,,
1599,3,C,,(Local) Amount,,0..1,,A class that specifies a value of money in a given currency.,Sales,0,(Local) Amount,GE04ak,/SL06a_GE13_01/GE15h/GE04ak,$.Sales Order Line.Order Line.Tax.(Local) Amount,SalOrdLnordLn.Tx.LclAmt,,
1600,4,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,Sales,0,(Local) Amount,GE04ak_01,/SL06a_GE13_01/GE15h/GE04ak_01,$.Sales Order Line.Order Line.Tax.(Local) Amount.Value,SalOrdLnordLn.Tx.LclAmt.Val,,
1601,4,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",Sales,30,Currency,BS04am,/SL06a_GE13_01/GE15h/BS04am,$.Sales Order Line.Order Line.Tax.(Local) Amount.Currency,SalOrdLnordLn.Tx.LclAmt.Cur,,
1602,5,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Sales,30,Currency,BS04am_01,/SL06a_GE13_01/GE15h/BS04am_01,$.Sales Order Line.Order Line.Tax.(Local) Amount.Currency.Code,SalOrdLnordLn.Tx.LclAmt.Cur.Cd,,
1603,3,C,,(Transaction) Amount,,0..1,,A class that specifies a value of money in a given currency.,Sales,0,(Transaction) Amount,GE04al,/SL06a_GE13_01/GE15h/GE04al,$.Sales Order Line.Order Line.Tax.(Transaction) Amount,SalOrdLnordLn.Tx.TrnscAmt,,
1604,4,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,Sales,0,(Transaction) Amount,GE04al_01,/SL06a_GE13_01/GE15h/GE04al_01,$.Sales Order Line.Order Line.Tax.(Transaction) Amount.Value,SalOrdLnordLn.Tx.TrnscAmt.Val,,
1605,4,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",Sales,30,Currency,BS04an,/SL06a_GE13_01/GE15h/BS04an,$.Sales Order Line.Order Line.Tax.(Transaction) Amount.Currency,SalOrdLnordLn.Tx.TrnscAmt.Cur,,
1606,5,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Sales,30,Currency,BS04an_01,/SL06a_GE13_01/GE15h/BS04an_01,$.Sales Order Line.Order Line.Tax.(Transaction) Amount.Currency.Code,SalOrdLnordLn.Tx.TrnscAmt.Cur.Cd,,
1607,1,C,,User,,,,"A class with user details, important for overseeing access, maintaining security, and tracking system use.",Base,10,User,BS22y,/BS22y,$.User,Usr,,
1608,2,A,PK,ID,Identifier,1..1,Identifier Short,"The unique identifier for individuals entering transactions into the accounting and/or ERP system.
",Base,10,User,BS22y_01,/BS22y/BS22y_01,$.User.ID,Usr.Id,,
1609,2,A,,Status Modified Date,Date,0..1,DATE,The date on which the activation or termination status of the user was last modified.,Base,10,User,BS22y_03,/BS22y/BS22y_03,$.User.Status Modified Date,Usr.StatMdfDt,,
1610,2,A,,Name,Name,0..1,Name Medium,The identifying label assigned to an individual within the system.,Base,10,User,BS22y_04,/BS22y/BS22y_04,$.User.Name,Usr.Nam,,
1611,2,A,,Job Title,Char,0..1,Char Long,"The designation of the individual's role within the system, indicating their position or responsibility.",Base,10,User,BS22y_05,/BS22y/BS22y_05,$.User.Job Title,Usr.JbTtl,,
1612,2,A,,Role Responsibility,Char,0..1,Char Long,A descriptive depiction of the functional role or primary responsibility of the individual within the system.,Base,10,User,BS22y_06,/BS22y/BS22y_06,$.User.Role Responsibility,Usr.RlResp,,
1613,2,R,,(Department) Business Segment,,0..1,,"The reference association to the Department Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",Base,4,(Department) Business Segment,BS02q,/BS22y/BS02q,$.User.(Department) Business Segment,Usr.DeprtBusSg,,
1614,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,Base,4,(Department) Business Segment,BS02q_01,/BS22y/BS02q_01,$.User.(Department) Business Segment.Code,Usr.DeprtBusSg.Cd,,
1615,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Base,4,(Department) Business Segment,BS02q_03,/BS22y/BS02q_03,$.User.(Department) Business Segment.Segment Reference Level,Usr.DeprtBusSg.SgRefLevl,,
1616,1,C,,Purchase Requisition,,,,A class representing an internal document requesting the procurement of goods or services.,Purchase,100,Purchase Requisition,PR09a,/PR09a,$.Purchase Requisition,PurRqstn,,
1617,2,A,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for a purchase requisition.,Purchase,100,Purchase Requisition,PR09a_01,/PR09a/PR09a_01,$.Purchase Requisition.ID,PurRqstn.Id,,
1618,2,A,,Number,Char,0..1,Char Long,The number for a material purchase requisition document.,Purchase,100,Purchase Requisition,PR09a_02,/PR09a/PR09a_02,$.Purchase Requisition.Number,PurRqstn.Nr,,
1619,2,A,,Date,Date,0..1,DATE,The date on which a purchase requisition is officially submitted.,Purchase,100,Purchase Requisition,PR09a_03,/PR09a/PR09a_03,$.Purchase Requisition.Date,PurRqstn.Dt,,
1620,2,A,,Status,Code,0..1,STATUS CODE,The current state of the purchase requisition's lifecycle.,Purchase,100,Purchase Requisition,PR09a_04,/PR09a/PR09a_04,$.Purchase Requisition.Status,PurRqstn.Stat,,
1621,2,A,,Remark,Text,0..1,Text Medium,Annotations or supplemental information for a purchase requisition.,Purchase,100,Purchase Requisition,PR09a_05,/PR09a/PR09a_05,$.Purchase Requisition.Remark,PurRqstn.Remrk,,
1622,2,C,,Activities,,0..1,,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Purchase,0,Activities,GE01g,/PR09a/GE01g,$.Purchase Requisition.Activities,PurRqstn.Acts,,
1623,3,C,,(Approved) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,Purchase,0,(Approved) Activity,GE02y,/PR09a/GE02y,$.Purchase Requisition.Activities.(Approved) Activity,PurRqstn.Acts.ApprvAct,,
1624,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",Purchase,0,(Approved) Activity,GE02y_01,/PR09a/GE02y_01,$.Purchase Requisition.Activities.(Approved) Activity.Date,PurRqstn.Acts.ApprvAct.Dt,,
1625,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,Purchase,0,(Approved) Activity,GE02y_02,/PR09a/GE02y_02,$.Purchase Requisition.Activities.(Approved) Activity.Time,PurRqstn.Acts.ApprvAct.Tm,,
1626,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",Purchase,10,User,BS22z,/PR09a/BS22z,$.Purchase Requisition.Activities.(Approved) Activity.User,PurRqstn.Acts.ApprvAct.Usr,,
1627,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",Purchase,10,User,BS22z_01,/PR09a/BS22z_01,$.Purchase Requisition.Activities.(Approved) Activity.User.ID,PurRqstn.Acts.ApprvAct.Usr.Id,,
1628,3,C,,(Created) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,Purchase,0,(Created) Activity,GE02z,/PR09a/GE02z,$.Purchase Requisition.Activities.(Created) Activity,PurRqstn.Acts.CrtdAct,,
1629,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",Purchase,0,(Created) Activity,GE02z_01,/PR09a/GE02z_01,$.Purchase Requisition.Activities.(Created) Activity.Date,PurRqstn.Acts.CrtdAct.Dt,,
1630,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,Purchase,0,(Created) Activity,GE02z_02,/PR09a/GE02z_02,$.Purchase Requisition.Activities.(Created) Activity.Time,PurRqstn.Acts.CrtdAct.Tm,,
1631,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",Purchase,10,User,BS22a0,/PR09a/BS22a0,$.Purchase Requisition.Activities.(Created) Activity.User,PurRqstn.Acts.CrtdAct.Usr,,
1632,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",Purchase,10,User,BS22a0_01,/PR09a/BS22a0_01,$.Purchase Requisition.Activities.(Created) Activity.User.ID,PurRqstn.Acts.CrtdAct.Usr.Id,,
1633,3,C,,(Last Modified) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,Purchase,0,(Last Modified) Activity,GE02a0,/PR09a/GE02a0,$.Purchase Requisition.Activities.(Last Modified) Activity,PurRqstn.Acts.LastMdfdAct,,
1634,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",Purchase,0,(Last Modified) Activity,GE02a0_01,/PR09a/GE02a0_01,$.Purchase Requisition.Activities.(Last Modified) Activity.Date,PurRqstn.Acts.LastMdfdAct.Dt,,
1635,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,Purchase,0,(Last Modified) Activity,GE02a0_02,/PR09a/GE02a0_02,$.Purchase Requisition.Activities.(Last Modified) Activity.Time,PurRqstn.Acts.LastMdfdAct.Tm,,
1636,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",Purchase,10,User,BS22a1,/PR09a/BS22a1,$.Purchase Requisition.Activities.(Last Modified) Activity.User,PurRqstn.Acts.LastMdfdAct.Usr,,
1637,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",Purchase,10,User,BS22a1_01,/PR09a/BS22a1_01,$.Purchase Requisition.Activities.(Last Modified) Activity.User.ID,PurRqstn.Acts.LastMdfdAct.Usr.Id,,
1638,3,C,,(Posted) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,Purchase,0,(Posted) Activity,GE02a1,/PR09a/GE02a1,$.Purchase Requisition.Activities.(Posted) Activity,PurRqstn.Acts.PstdAct,,
1639,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",Purchase,0,(Posted) Activity,GE02a1_01,/PR09a/GE02a1_01,$.Purchase Requisition.Activities.(Posted) Activity.Date,PurRqstn.Acts.PstdAct.Dt,,
1640,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,Purchase,0,(Posted) Activity,GE02a1_02,/PR09a/GE02a1_02,$.Purchase Requisition.Activities.(Posted) Activity.Time,PurRqstn.Acts.PstdAct.Tm,,
1641,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",Purchase,10,User,BS22a2,/PR09a/BS22a2,$.Purchase Requisition.Activities.(Posted) Activity.User,PurRqstn.Acts.PstdAct.Usr,,
1642,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",Purchase,10,User,BS22a2_01,/PR09a/BS22a2_01,$.Purchase Requisition.Activities.(Posted) Activity.User.ID,PurRqstn.Acts.PstdAct.Usr.Id,,
1643,2,R,,Business Segment,,0..*,,"The reference association to the Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",Purchase,4,Business Segment,BS02r,/PR09a/BS02r,$.Purchase Requisition.Business Segment,PurRqstn.BusSg,,
1644,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,Purchase,4,Business Segment,BS02r_01,/PR09a/BS02r/BS02r_01,$.Purchase Requisition.Business Segment.Code,PurRqstn.BusSg.Cd,,
1645,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Purchase,4,Business Segment,BS02r_03,/PR09a/BS02r/BS02r_03,$.Purchase Requisition.Business Segment.Segment Reference Level,PurRqstn.BusSg.SgRefLevl,,
1646,2,C,,Purchase Requisition Line,,0..*,,A class representing the specifics of goods or services requested in a purchase requisition.,Purchase,102,Purchase Requisition Line,PR10a,/PR09a/PR10a,$.Purchase Requisition.Purchase Requisition Line,PurRqstn.PurRqstnLn,,
1647,3,A,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for a line within a purchase requisition.,Purchase,102,Purchase Requisition Line,PR10a_01,/PR09a/PR10a/PR10a_01,$.Purchase Requisition.Purchase Requisition Line.ID,PurRqstn.PurRqstnLn.Id,,
1648,3,A,,Number,Char,0..1,Char Short,The number for a specific line within a purchase requisition document.,Purchase,102,Purchase Requisition Line,PR10a_02,/PR09a/PR10a/PR10a_02,$.Purchase Requisition.Purchase Requisition Line.Number,PurRqstn.PurRqstnLn.Nr,,
1649,3,A,,Due Date,Date,0..1,DATE,The final date on which delivery of materials specified in a purchase requisition is requested.,Purchase,102,Purchase Requisition Line,PR10a_03,/PR09a/PR10a/PR10a_03,$.Purchase Requisition.Purchase Requisition Line.Due Date,PurRqstn.PurRqstnLn.DDt,,
1650,3,A,,Status,Code,0..1,STATUS CODE,The current state of the purchase requisition line item's lifecycle.,Purchase,102,Purchase Requisition Line,PR10a_04,/PR09a/PR10a/PR10a_04,$.Purchase Requisition.Purchase Requisition Line.Status,PurRqstn.PurRqstnLn.Stat,,
1651,3,R,,(Purchase Organization) Business Segment,,0..1,,"The reference association to the Purchase Organization Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",Purchase,4,(Purchase Organization) Business Segment,BS02s,/PR09a/PR10a/BS02s,$.Purchase Requisition.Purchase Requisition Line.(Purchase Organization) Business Segment,PurRqstn.PurRqstnLn.PrchsOrgnzBusSg,,
1652,4,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,Purchase,4,(Purchase Organization) Business Segment,BS02s_01,/PR09a/PR10a/BS02s_01,$.Purchase Requisition.Purchase Requisition Line.(Purchase Organization) Business Segment.Code,PurRqstn.PurRqstnLn.PrchsOrgnzBusSg.Cd,,
1653,4,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Purchase,4,(Purchase Organization) Business Segment,BS02s_03,/PR09a/PR10a/BS02s_03,$.Purchase Requisition.Purchase Requisition Line.(Purchase Organization) Business Segment.Segment Reference Level,PurRqstn.PurRqstnLn.PrchsOrgnzBusSg.SgRefLevl,,
1654,3,R,,(Requisition Organization) Business Segment,,0..1,,"The reference association to the Requisition Organization Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",Purchase,4,(Requisition Organization) Business Segment,BS02t,/PR09a/PR10a/BS02t,$.Purchase Requisition.Purchase Requisition Line.(Requisition Organization) Business Segment,PurRqstn.PurRqstnLn.ReqstOrgnzBusSg,,
1655,4,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,Purchase,4,(Requisition Organization) Business Segment,BS02t_01,/PR09a/PR10a/BS02t_01,$.Purchase Requisition.Purchase Requisition Line.(Requisition Organization) Business Segment.Code,PurRqstn.PurRqstnLn.ReqstOrgnzBusSg.Cd,,
1656,4,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Purchase,4,(Requisition Organization) Business Segment,BS02t_03,/PR09a/PR10a/BS02t_03,$.Purchase Requisition.Purchase Requisition Line.(Requisition Organization) Business Segment.Segment Reference Level,PurRqstn.PurRqstnLn.ReqstOrgnzBusSg.SgRefLevl,,
1657,3,R,,Inventory Product,,0..1,,"The reference association to the Inventory Product class, which is a class that describes an inventory item with all its essential attributes and tracking details.",Purchase,125,Inventory Product,IV01g,/PR09a/PR10a/IV01g,$.Purchase Requisition.Purchase Requisition Line.Inventory Product,PurRqstn.PurRqstnLn.InvPrdct,,
1658,4,A,REF,ID,Identifier,1..1,Identifier Medium,The reference identifier for an inventory item.,Purchase,125,Inventory Product,IV01g_01,/PR09a/PR10a/IV01g_01,$.Purchase Requisition.Purchase Requisition Line.Inventory Product.ID,PurRqstn.PurRqstnLn.InvPrdct.Id,,
1659,3,R,,(Purchase) Measurement Unit,,0..1,,"The reference association to the Purchase Measurement Unit class, which is a class documents the units of measure utilized across various business documents and accounting ledgers.",Purchase,32,(Purchase) Measurement Unit,BS12k,/PR09a/PR10a/BS12k,$.Purchase Requisition.Purchase Requisition Line.(Purchase) Measurement Unit,PurRqstn.PurRqstnLn.PrchsMeaUnt,,
1660,4,A,REF,UOM Code,Identifier,1..1,MEASUREMENT UNIT CODE,The unique code for the unit of measure used in transactions.,Purchase,32,(Purchase) Measurement Unit,BS12k_01,/PR09a/PR10a/BS12k_01,$.Purchase Requisition.Purchase Requisition Line.(Purchase) Measurement Unit.UOM Code,PurRqstn.PurRqstnLn.PrchsMeaUnt.UomCd,,
1661,3,R,,Project,,0..1,,"The reference association to the Project class, which is a class designed for specific projects that can vary from construction to research and may receive public or private funding. It methodically logs key information such as organizational hierarchy, strategic approaches, processes, steps taken, records, budgetary outlines, actual expenses, and the progress made toward set goals.",Purchase,36,Project,BS14a,/PR09a/PR10a/BS14a,$.Purchase Requisition.Purchase Requisition Line.Project,PurRqstn.PurRqstnLn.Proj,,
1662,4,A,REF,ID,Identifier,1..1,Identifier Medium,The reference identifier for a project.,Purchase,36,Project,BS14a_01,/PR09a/PR10a/BS14a_01,$.Purchase Requisition.Purchase Requisition Line.Project.ID,PurRqstn.PurRqstnLn.Proj.Id,,
1663,3,R,,Supplier,,0..1,,"The reference association to the Supplier class, which is a class containing essential information about suppliers.",Purchase,18,Supplier,BS16a,/PR09a/PR10a/BS16a,$.Purchase Requisition.Purchase Requisition Line.Supplier,PurRqstn.PurRqstnLn.Supl,,
1664,4,A,REF,Account ID,Identifier,1..1,Identifier Long,The reference identifier for a supplier account.,Purchase,18,Supplier,BS16a_01,/PR09a/PR10a/BS16a_01,$.Purchase Requisition.Purchase Requisition Line.Supplier.Account ID,PurRqstn.PurRqstnLn.Supl.AcntId,,
1665,3,C,,(Approved) Quantity,,0..1,,"A class that measures the extent, size, or amount of items, including the unit of measurement.",Purchase,0,(Approved) Quantity,GE14k,/PR09a/PR10a/GE14k,$.Purchase Requisition.Purchase Requisition Line.(Approved) Quantity,PurRqstn.PurRqstnLn.ApprvQt,,
1666,4,A,,Value,Decimal,0..1,QUANTITY,The numerical amount of a specified item or resource.,Purchase,0,(Approved) Quantity,GE14k_01,/PR09a/PR10a/GE14k_01,$.Purchase Requisition.Purchase Requisition Line.(Approved) Quantity.Value,PurRqstn.PurRqstnLn.ApprvQt.Val,,
1667,4,R,,Measurement Unit,,0..1,,"The reference association to the Measurement Unit class, which is a class documents the units of measure utilized across various business documents and accounting ledgers.",Purchase,32,Measurement Unit,BS12l,/PR09a/PR10a/BS12l,$.Purchase Requisition.Purchase Requisition Line.(Approved) Quantity.Measurement Unit,PurRqstn.PurRqstnLn.ApprvQt.MeaUnt,,
1668,5,A,REF,UOM Code,Identifier,1..1,MEASUREMENT UNIT CODE,The unique code for the unit of measure used in transactions.,Purchase,32,Measurement Unit,BS12l_01,/PR09a/PR10a/BS12l_01,$.Purchase Requisition.Purchase Requisition Line.(Approved) Quantity.Measurement Unit.UOM Code,PurRqstn.PurRqstnLn.ApprvQt.MeaUnt.UomCd,,
1669,3,C,,(Requisition) Quantity,,0..1,,"A class that measures the extent, size, or amount of items, including the unit of measurement.",Purchase,0,(Requisition) Quantity,GE14l,/PR09a/PR10a/GE14l,$.Purchase Requisition.Purchase Requisition Line.(Requisition) Quantity,PurRqstn.PurRqstnLn.ReqstQt,,
1670,4,A,,Value,Decimal,0..1,QUANTITY,The numerical amount of a specified item or resource.,Purchase,0,(Requisition) Quantity,GE14l_01,/PR09a/PR10a/GE14l_01,$.Purchase Requisition.Purchase Requisition Line.(Requisition) Quantity.Value,PurRqstn.PurRqstnLn.ReqstQt.Val,,
1671,4,R,,Measurement Unit,,0..1,,"The reference association to the Measurement Unit class, which is a class documents the units of measure utilized across various business documents and accounting ledgers.",Purchase,32,Measurement Unit,BS12m,/PR09a/PR10a/BS12m,$.Purchase Requisition.Purchase Requisition Line.(Requisition) Quantity.Measurement Unit,PurRqstn.PurRqstnLn.ReqstQt.MeaUnt,,
