sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,xpath
1093,6,A,,Number,Char,0..1,,Phone number referred to in 'phoneNumberDescription',gl-cor,0,Phone Number,BU01b_02,/CO12a/CO03a/BU08b/BU06b/BU01b/BU01b_02,$.Accounting Entries.Entity Information.Accountant.Contact.Phone Number.Number,AccntEntrs.EnttyInfrm.Accnt.Cnt.PhnNr.Nr,事業体電話番号,phoneNumberDescriptionで示される電話番号。,
1094,5,C,,Fax Number,,0..*,,Tuple for holding company fax information.,gl-cor,0,Fax Number,BU02b,/CO12a/CO03a/BU08b/BU06b/BU02b,$.Accounting Entries.Entity Information.Accountant.Contact.Fax Number,AccntEntrs.EnttyInfrm.Accnt.Cnt.FaxNr,【事業体FAX番号】,事業体のFAX番号情報のタプル。,
1095,6,A,,Usage,Text,0..1,,"Company fax number usage (e.g. orders, head office, IR)",gl-cor,0,Fax Number,BU02b_01,/CO12a/CO03a/BU08b/BU06b/BU02b/BU02b_01,$.Accounting Entries.Entity Information.Accountant.Contact.Fax Number.Usage,AccntEntrs.EnttyInfrm.Accnt.Cnt.FaxNr.Usg,事業体FAX番号用途,事業体のFAX番号の用途。(注文、本社、IRなど),
1096,6,A,,Number,Char,0..1,,Company Fax Number,gl-cor,0,Fax Number,BU02b_02,/CO12a/CO03a/BU08b/BU06b/BU02b/BU02b_02,$.Accounting Entries.Entity Information.Accountant.Contact.Fax Number.Number,AccntEntrs.EnttyInfrm.Accnt.Cnt.FaxNr.Nr,事業体FAX番号,事業体のFAX番号。,
1097,5,C,,Email Address,,0..*,,Tuple for holding company email information.,gl-cor,0,Email Address,BU03b,/CO12a/CO03a/BU08b/BU06b/BU03b,$.Accounting Entries.Entity Information.Accountant.Contact.Email Address,AccntEntrs.EnttyInfrm.Accnt.Cnt.EmlAdr,【事業体Eメールアドレス】,事業体のEメールアドレス情報のタプル。,
1098,6,A,,Usage,Text,0..1,,"Company email address usage (e.g. orders, head office, IR)",gl-cor,0,Email Address,BU03b_01,/CO12a/CO03a/BU08b/BU06b/BU03b/BU03b_01,$.Accounting Entries.Entity Information.Accountant.Contact.Email Address.Usage,AccntEntrs.EnttyInfrm.Accnt.Cnt.EmlAdr.Usg,事業体Eメールアドレス用途,事業体のEメールアドレスの用途。(注文、本社、IRなど),
1099,6,A,,Address,Char,0..1,,Company Email Address,gl-cor,0,Email Address,BU03b_02,/CO12a/CO03a/BU08b/BU06b/BU03b/BU03b_02,$.Accounting Entries.Entity Information.Accountant.Contact.Email Address.Address,AccntEntrs.EnttyInfrm.Accnt.Cnt.EmlAdr.Adr,事業体Eメールアドレス,事業体のEメールアドレス。,
1100,3,C,,Reporting Calendar,,0..*,,A tool to collect the periods used to summarise results from transactions.,gl-cor,0,Reporting Calendar,BU10a,/CO12a/CO03a/BU10a,$.Accounting Entries.Entity Information.Reporting Calendar,AccntEntrs.EnttyInfrm.RprtCalnd,【報告カレンダー】,取引の結果をまとめるための期間を集めるもの。,gl-bus:reportingCalendar
1101,4,A,PK,Code,Char,0..1,,"The code used to identify this specific reporting calendar, unique across periods",gl-cor,0,Reporting Calendar,BU10a_01,/CO12a/CO03a/BU10a/BU10a_01,$.Accounting Entries.Entity Information.Reporting Calendar.Code,AccntEntrs.EnttyInfrm.RprtCalnd.Cd,報告カレンダーコード,この報告カレンダーを識別するコード。複数期間にわたって一意。,gl-bus:reportingCalendarCode
1102,4,A,,Description,Text,0..1,,A description of the reporting calendar (associated with the reportingCalendarCode given),gl-cor,0,Reporting Calendar,BU10a_02,/CO12a/CO03a/BU10a/BU10a_02,$.Accounting Entries.Entity Information.Reporting Calendar.Description,AccntEntrs.EnttyInfrm.RprtCalnd.Dscr,報告カレンダー説明,報告カレンダーの説明（reportingCalendarCodeと関係付けられる）。,gl-bus:reportingCalendarDescription
1103,4,A,,Title,Name,0..1,,A description of the reporting period. The actual beginning and ending dates are found within the 'reportingCalendarPeriod' structure,gl-cor,0,Reporting Calendar,BU10a_03,/CO12a/CO03a/BU10a/BU10a_03,$.Accounting Entries.Entity Information.Reporting Calendar.Title,AccntEntrs.EnttyInfrm.RprtCalnd.Ttl,報告カレンダータイトル,報告期間の説明。実際の開始日及び終了日はreportingCalendarPeriodに記述する。,gl-bus:reportingCalendarTitle
