sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,module,label_local,definition_local,id,inherited,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
8823.0,2.0,Attribute,,Financial Account,Account Name, Text,,0..1,"The account name, expressed as text, of the wrap financial account.",Abstract Class,,,UN2018_03,20.0,,,,,,,,,,,
8824.0,2.0,Attribute,,Financial Account,Currency, Code,,0..1,The code specifying the currency of the wrap financial account.,Abstract Class,,,UN2018_04,14.0,,,,,,,,,,,
12317.0,2.0,Attribute,,Financial Account,Proprietary_ Identification, Identifier,,0..1,The proprietary identifier.,Abstract Class,,,UN2112_03,11.0,,,,,,,,,,,
13419.0,2.0,Attribute,,Financial Account,BBAN_ Identification, Identifier,,0..1,The unique Basic Bank Account Number (BBAN) identifier used.,Abstract Class,,,UN2149_02,9.0,,,,,,,,,,,
13420.0,2.0,Attribute,,Financial Account,UPIC_ Identification, Identifier,,0..1,The unique Universal Payment Identification Code (UPIC) identifier used by the New York Clearing House.,Abstract Class,,,UN2149_03,9.0,,,,,,,,,,,
13421.0,2.0,Attribute,,Financial Account,Proprietary_ Account Name, Text,,0..1,"The proprietary account name, expressed as text, of the debtor financial account.",Abstract Class,,,UN2149_09,8.0,,,,,,,,,,,
13423.0,2.0,Attribute,,Financial Account,Proprietary_ Type, Text,,0..1,"The proprietary type, expressed as text, of the financing financial account, such as the nature or use.",Abstract Class,,,UN2149_05,9.0,,,,,,,,,,,
239.0,1.0,Abstract Class,,Financial Institution,,,,,An organisation that provides financial services and processes financial transactions.,Abstract Class,,,UN2018,,,,,,,,,,,,
8830.0,2.0,Attribute,,Financial Institution,BIC, Identifier,,0..1,The Bank Identification Code (BIC) as defined.,Abstract Class,,,UN2019_02,14.0,,,,,,,,,,,
8832.0,2.0,Attribute,,Financial Institution,Identification, Identifier,,0..1,An identifier for the financial institution.,Abstract Class,,,UN2019_04,6.0,,,,,,,,,,,
8833.0,2.0,Attribute,,Financial Institution,Name, Text,,0..1,The identifier of the name.,Abstract Class,,,UN2019_05,16.0,,,,,,,,,,,
12321.0,2.0,Attribute,,Financial Institution,Clearing System Name, Text,,0..1,"The clearing system name, expressed as text.",Abstract Class,,,UN2112_02,9.0,,,,,,,,,,,
12322.0,2.0,Attribute,,Financial Institution,CHIPS Universal_ Identification, Identifier,,0..1,The unique (United States) Clearing House Interbank Payments System (CHIPS) Universal Identification (UID) as assigned by the New York Clearing House.,Abstract Class,,,UN2112_03,9.0,,,,,,,,,,,
12323.0,2.0,Attribute,,Financial Institution,New Zealand NCC_ Identification, Identifier,,0..1,The unique New Zealand National Clearing Code (NCC) identifier as assigned by the New Zealand Bankers' Association (NZBA).,Abstract Class,,,UN2112_04,9.0,,,,,,,,,,,
12324.0,2.0,Attribute,,Financial Institution,Irish NSC_ Identification, Identifier,,0..1,The unique Irish National Sorting Code (NSC) identifier as assigned by the Irish Payments Services Organisation (IPSO).,Abstract Class,,,UN2112_05,9.0,,,,,,,,,,,
12325.0,2.0,Attribute,,Financial Institution,UK Sort Code_ Identification, Identifier,,0..1,The unique United Kingdom (UK) Sort Code identifier as assigned by the UK Payment Association (APACS).,Abstract Class,,,UN2112_06,9.0,,,,,,,,,,,
12326.0,2.0,Attribute,,Financial Institution,CHIPS Participant_ Identification, Identifier,,0..1,The unique (United States) Clearing House Interbank Payment System (CHIPS) Participant Identifier (ID) as assigned by the New York Clearing House.,Abstract Class,,,UN2112_07,9.0,,,,,,,,,,,
12327.0,2.0,Attribute,,Financial Institution,Swiss BC_ Identification, Identifier,,0..1,The unique Swiss Bank Code (BC) identifier.,Abstract Class,,,UN2112_08,9.0,,,,,,,,,,,
12328.0,2.0,Attribute,,Financial Institution,Fedwire Routing Number_ Identification, Identifier,,0..1,The unique Fedwire Routing Number identifier as assigned by the American Bankers Association (ABA).,Abstract Class,,,UN2112_09,9.0,,,,,,,,,,,
