version,sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,acronym,code_list,attribute,element,label_local,definition_local,DEN,UNID
v1,63,2,Composition,,CI_ Trade_ Party,Postal,,CI_ Trade_ Address,0..1,The postal address for this CI trade party.,ASBIE, ,,PostalCITradeAddress,事業者／住所グループ,事業者の住所に関するグループ。,CI_ Trade_ Party. Postal. CI_ Trade_ Address,UN01005762
v1,64,1,Class,,CI_ Trade_ Contact,,,, -,A person or a department that acts as a point of contact with another person or department in a Cross Industry (CI) trading relationship.,ABIE, ,,CITradeContact,事業者連絡先クラス,連絡先に関する情報からなるクラス。,CI_ Trade_ Contact. Details,UN01005718
v1,65,2,Attribute,,CI_ Trade_ Contact,Person Name,Text,,0..1,"The name, expressed as text, of this CI trade contact person.",BBIE,,ISO639言語コード,PersonName,事業者担当名,事業者の発注担当者の名称,CI_ Trade_ Contact. Person Name. Text,UN01005720
v1,66,2,Attribute,,CI_ Trade_ Contact,Department Name,Text,,0..1,"The name, expressed as text, of the department which is this CI trade contact.",BBIE,,ISO639言語コード,DepartmentName,事業者部門名,事業者の発注部門の名称。,CI_ Trade_ Contact. Department Name. Text,UN01005721
v1,67,2,Composition,,CI_ Trade_ Contact,Telephone,,CI_ Universal_ Communication,0..1,The telephone communication information for this CI trade contact.,ASBIE, ,,TelephoneCIUniversalCommunication,連絡先／電話情報グループ,連絡先の電話に関するグループ。,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,UN01005726
v1,68,2,Composition,,CI_ Trade_ Contact,Fax,,CI_ Universal_ Communication,0..1,The fax communication information for this CI trade contact.,ASBIE,,,FaxCIUniversalCommunication,連絡先／FAX情報グループ,連絡先のFAXに関するグループ。,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,UN01005729
v1,69,1,Class,,CI_ Universal_ Communication,,,,－,The exchange of messages or information for Cross Industry (CI) purposes.,ABIE, ,,CIUniversalCommunication,電話通信クラス,通信（電話）に関する情報からなるクラス。,CI_ Universal_ Communication. Details,UN01005857
v1,70,2,Attribute,,CI_ Universal_ Communication,Complete Number,Text,,0..1,The text string of characters that make up the complete number for this CI universal communication.,BBIE, ,,CompleteNumber,事業者電話番号,事業者の電話番号。,CI_ Universal_ Communication. Complete Number. Text,UN01005860
v4,71,1,Class,,CI_ Trade_ Address,,,,－,The place at which a particular Cross Industry (CI) trade related organization or person may be found or reached.,ABIE, ,,CITradeAddress,事業者住所クラス,事業者住所に関する情報からなるクラス。,CI_ Trade_ Address. Details,UN01005687
v4,72,2,Attribute,,CI_ Trade_ Address,Postcode,Code,,0..1,The postcode of this CI trade address.,BBIE, ,,PostcodeCode,事業者郵便番号,事業者の郵便番号。,CI_ Trade_ Address. Postcode. Code,UN01005689
v4,73,2,Attribute,,CI_ Trade_ Address,Line One,Text,,0..1,"The first free form line, expressed as text, of this CI trade address.",BBIE,,ISO639言語コード,LineOne,事業者住所1,事業者の住所1行目。,CI_ Trade_ Address. Line One. Text,UN01005692
v1,74,1,Class,,Procuring_ Project,,,,－,"An endeavour carefully planned to achieve a procurement of goods, works and service.",ABIE, ,,ProcuringProject,プロジェクト調達クラス,プロジェクト調達に関する情報のクラス,Procuring_ Project. Details,UN01000371
v1/v3,75,2,Attribute,,Procuring_ Project,Identification,Identifier,,0..1,The unique identifier of this procuring project.,BBIE, ,,ID,プロジェクトID,発注品に関するプロジェクト・工事案件等を管理するためのID。,Procuring_ Project. Identification. Identifier,UN01000372
v1/v3,76,2,Attribute,,Procuring_ Project,Name,Text,,0..1,"The name, expressed as text, of this procuring project.",BBIE,,ISO639言語コード,Name,プロジェクト名,発注品に関するプロジェクト・工事案件等の名称。,Procuring_ Project. Name. Text,UN01000374
v2,77,1,Class,,CIIH_ Supply Chain_ Trade Settlement,,,,－,The information that enables the financial reconciliation of the Cross Industry Invoice Header (CIIH) of a supply chain transaction with the item(s) that the financial transaction is intended to settle.,ABIE, ,,CIIHSupplyChainTradeSettlement,インボイス文書決済クラス,インボイス文書の決済に関する情報からなるクラス。,CIIH_ Supply Chain_ Trade Settlement. Details,UN01005909
v4,78,2,Composition,,CIIH_ Supply Chain_ Trade Settlement,Specified,,CI_ Trade Settlement_ Payment Means,0..n,A Cross Industry (CI) trade settlement payment means specified for this CIIH supply chain trade settlement.,ASBIE, ,,SpecifiedCITradeSettlementPaymentMeans,インボイス文書決済／支払手段グループ,インボイス文書決済に関する支払手段のグループ。,CIIH_ Supply Chain_ Trade Settlement. Specified. CI_ Trade Settlement_ Payment Means,UN01005923
v4,79,2,Composition,,CIIH_ Supply Chain_ Trade Settlement,Applicable,,CI_ Trade_ Tax,0..n,A Cross Industry (CI) trade tax applicable to this CIIH supply chain trade settlement.,ASBIE, ,,ApplicableCITradeTax,インボイス文書決済／鑑ヘッダ税グループ,インボイス文書の鑑ヘッダの税に関するグループ,CIIH_ Supply Chain_ Trade Settlement. Applicable. CI_ Trade_ Tax,UN01005924
v4,80,2,Composition,,CIIH_ Supply Chain_ Trade Settlement,Billing,,CI_ Specified_ Period,0..1,The Cross Industry (CI) billing period specified for this CIIH supply chain trade settlement.,ASBIE, ,,BillingCISpecifiedPeriod,インボイス文書決済／鑑ヘッダ取引期間グループ,インボイス文書の取引期間に関するグループ,CIIH_ Supply Chain_ Trade Settlement. Billing. CI_ Specified_ Period,UN01005925
v4,81,2,Composition,,CIIH_ Supply Chain_ Trade Settlement,Specified,,CI_ Trade_ Payment Terms,0..n,Cross Industry (CI) trade payment terms specified for this CIIH supply chain trade settlement.,ASBIE, ,,SpecifiedCITradePaymentTerms,インボイス文書決済／支払条件グループ,インボイス文書の支払条件に関するグループ,CIIH_ Supply Chain_ Trade Settlement. Specified. CI_ Trade_ Payment Terms,UN01005929
v4,82,2,Composition,,CIIH_ Supply Chain_ Trade Settlement,Specified,,CIIH_ Trade Settlement_ Monetary Summation,0..1,The CIIH trade settlement monetary summation specified for this CIIH supply chain trade settlement.,ASBIE, ,,SpecifiedCIIHTradeSettlementMonetarySummation,インボイス文書決済／インボイス文書合計金額グループ,インボイス文書の合計金額に関するグループ,CIIH_ Supply Chain_ Trade Settlement. Specified. CIIH_ Trade Settlement_ Monetary Summation,UN01005930
v4,83,2,Composition,,CIIH_ Supply Chain_ Trade Settlement,Specified,,CI_ Financial_ Adjustment,0..n,A Cross Industry (CI) financial adjustment specified for this CIIH supply chain trade settlement.,ASBIE, ,,SpecifiedCIFinancialAdjustment,インボイス文書決済／鑑ヘッダ調整グループ,インボイス文書の鑑ヘッダ調整に関するグループ,CIIH_ Supply Chain_ Trade Settlement. Specified. CI_ Financial_ Adjustment,UN01005931
v4,84,2,Composition,,CIIH_ Supply Chain_ Trade Settlement,Outstanding_ Specified,,CIIH_ Trade Settlement_ Monetary Summation,0..1,The monetary summation totals outstanding for this CIIH supply chain trade settlement.,ASBIE,     ,,OutstandingSpecifiedCIIHTradeSettlementMonetarySummation,インボイス文書決済／未決済合計金額グループ,未決済合計金額に関するグループ,CIIH_ Supply Chain_ Trade Settlement. Outstanding_ Specified. CIIH_ Trade Settlement_ Monetary Summation,UN01015492
v4,85,1,Class,,CI_ Trade Settlement_ Payment Means,,,,－,The means by which a payment will be or has been made for Cross Industry (CI) trade settlement purposes.,ABIE, ,,CITradeSettlementPaymentMeans,支払手段クラス, 取引決済の目的で支払が行われる、あるいは行われた手段のクラス,CI_ Trade Settlement_ Payment Means. Details,UN01005670
v4,86,2,Attribute,,CI_ Trade Settlement_ Payment Means,Type,Code,,0..1,"The code specifying the type of CI trade settlement payment means, such as cash or cheque.",BBIE,UNCL4461,,TypeCode,支払手段タイプコード,取引決済手段のタイプを識別するコード,CI_ Trade Settlement_ Payment Means. Type. Code,UN01005672
v1,87,2,Composition,,CI_ Trade Settlement_ Payment Means,Payee_ Party,,CI_ Creditor_ Financial Account,0..1,The creditor financial account of the payee party for this CI trade settlement payment means.,ASBIE, ,,PayeePartyCICreditorFinancialAccount,支払手段／金融口座グループ,取引決済の支払手段に関する受取人である当事者の債権者金融口座のグループ,CI_ Trade Settlement_ Payment Means. Payee_ Party. CI_ Creditor_ Financial Account,UN01005677
v1,88,2,Composition,,CI_ Trade Settlement_ Payment Means,Payee_ Specified,,CI_ Creditor_ Financial Institution,0..1,The creditor financial institution of the payee party specified for this CI trade settlement payment means.,ASBIE, ,,PayeeSpecifiedCICreditorFinancialInstitution,支払手段／金融機関グループ,取引決済の支払手段に対して特定された受取人である当事者の債権者金融機関のグループ,CI_ Trade Settlement_ Payment Means. Payee_ Specified. CI_ Creditor_ Financial Institution,UN01005679
