version,sequence,level,type,identifier,UNID,acronym,label_local,multiplicity,class,property_term,representation_term,associated_class,definition_local,code_list,DEN,definition,short_name,element,xpath
v2/v4.3,200,5,A,,UN01005839,BBIE,明細文書ヘッダ課税分類課税対象合計金額（税抜き）,0..1,CI_ Trade_ Tax,Basis,Amount,,"=Σ明細行課税分類譲渡資産合計金額＋Σ明細文書ヘッダ追加請求金額ーΣ明細文書ヘッダ返金金額
「明細文書ヘッダ税計算方式」のコード値指定により税抜き、税込みを識別する","通貨コード
ISO4217",CI_ Trade_ Tax. Basis. Amount,,,BasisAmount,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/ApplicableCITradeTax/CalculatedAmount
v3,201,5,A,,UN01005841,BBIE,明細文書ヘッダ課税分類コード,1..1,CI_ Trade_ Tax,Category,Code,,"明細文書ヘッダの課税分類（標準税率、軽減税率、不課税、非課税、免税等）を識別するコード
課税分類ごとにクラスを設ける",UNCL5305,CI_ Trade_ Tax. Category. Code,,,CategoryCode,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/ApplicableCITradeTax/BasisAmount
v1/v2,202,5,A,,UN01007174,BBIE,明細文書ヘッダ税率,0..1,CI_ Trade_ Tax,Rate_ Applicable,Percent,,明細文書ヘッダヘッダの課税分類毎の税額計算のための率。,　,CI_ Trade_ Tax. Rate_ Applicable. Percent,,,RateApplicablePercent,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/ApplicableCITradeTax/CategoryCode
v2/v4.3,203,5,A,,UN01013040,BBIE,明細文書ヘッダ課税分類課税対象合計金額（税込み）,0..1,CI_ Trade_ Tax,Grand Total,Amount,,"＝明細文書ヘッダ課税分類課税対象合計金額（税抜き）＋明細文書ヘッダ課税分類税額
または
'＝明細文書ヘッダ課税分類課税対象合計金額（税込み）","通貨コード
ISO4217",CI_ Trade_ Tax. Grand Total. Amount,,,GrandTotalAmount,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/ApplicableCITradeTax/RateApplicablePercent
v2/v3,204,5,A,,UN01013096,BBIE,明細文書ヘッダ税計算方式,0..1,CI_ Trade_ Tax,Calculation Method,Code,,"明細文書ヘッダの金額の税込み、税抜きを指定。
デフォルトは「税抜き」",JECxxxx,CI_ Trade_ Tax. Calculation Method. Code,,,CalculationMethodCode,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/ApplicableCITradeTax/GrandTotalAmount
v1,205,4,C,,UN01006002,ASBIE,明細文書ヘッダ決済／合計金額グループ,0..1,CIIL_ Supply Chain_ Trade Settlement,Specified,,CIIL_ Trade Settlement_ Monetary Summation,明細文書ヘッダの合計金額に関するグループ, ,CIIL_ Supply Chain_ Trade Settlement. Specified. CIIL_ Trade Settlement_ Monetary Summation,,,SpecifiedCIILTradeSettlementMonetarySummation,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/ApplicableCITradeTax
v4,207,5,A,,UN01006008,BBIE,明細文書ヘッダ追加請求合計金額,0..1,CIIL_ Trade Settlement_ Monetary Summation,Charge Total,Amount,,"明細文書ヘッダレベルの追加請求合計金額
'=Σ明細文書ヘッダ追加請求金額","通貨コード
ISO4217",CIIL_ Trade Settlement_ Monetary Summation. Charge Total. Amount,,,ChargeTotalAmount,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/SpecifiedCIILTradeSettlementMonetarySummation/CalculationMethodCode
v4,208,5,A,,UN01006009,BBIE,明細文書ヘッダ返金合計金額,0..1,CIIL_ Trade Settlement_ Monetary Summation,Allowance Total,Amount,,"明細文書ヘッダレベルの返金合計金額
'=Σ明細文書ヘッダ返金金額","通貨コード
ISO4217",CIIL_ Trade Settlement_ Monetary Summation. Allowance Total. Amount,,,AllowanceTotalAmount,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/SpecifiedCIILTradeSettlementMonetarySummation/ChargeTotalAmount
v1,209,5,A,,UN01006011,BBIE,明細文書ヘッダ消費税合計額,0..1,CIIL_ Trade Settlement_ Monetary Summation,Tax Total,Amount,,"明細文書ヘッダ消費税の合計税額
'=（明細文書ヘッダ譲渡資産合計金額（税抜き）＋明細文書ヘッダ追加請求合計金額ー明細文書ヘッダ返金合計金額）×税率
（明細文書ヘッダ課税分類コード＝S/AA）","通貨コード
ISO4217",CIIL_ Trade Settlement_ Monetary Summation. Tax Total. Amount,,,TaxTotalAmount,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/SpecifiedCIILTradeSettlementMonetarySummation/AllowanceTotalAmount
v1,210,5,A,,UN01008456,BBIE,明細文書ヘッダ譲渡資産合計金額(税抜き),0..1,CIIL_ Trade Settlement_ Monetary Summation,Net_ Line Total,Amount,,=Σ明細行譲渡資産金額（税抜き）,"通貨コード
ISO4217",CIIL_ Trade Settlement_ Monetary Summation. Net_ Line Total. Amount,,,NetLineTotalAmount,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/SpecifiedCIILTradeSettlementMonetarySummation/TaxTotalAmount
v2,211,5,A,,UN01008457,BBIE,明細文書ヘッダ譲渡資産合計金額(税込み),0..1,CIIL_ Trade Settlement_ Monetary Summation,Net Including Taxes_ Line Total,Amount,,=Σ明細文書明細行譲渡資産金額（税込み）,"通貨コード
ISO4217",CIIL_ Trade Settlement_ Monetary Summation. Net Including Taxes_ Line Total. Amount,,,NetIncludingTaxesLineTotalAmount,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SpecifiedCIILSupplyChainTradeSettlement/SpecifiedCIILTradeSettlementMonetarySummation/NetLineTotalAmount
