sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,element
1236,4,A,,Memo Line,xbrli:stringItemType,0..1,,A boolean like entry that indicates whether an entryDetail line has been provided solely to provide additional details and that tools should not consider the amount in postings.,gl-cor,0,Entry Detail,CO05a_BU05_23,/CO02a/CO06a/CO05a/CO05a_BU05_23,$.Accounting Entries.Entry Header.Entry Detail.Memo Line,AccntEntrs.EntryHedr.EntryDetl.MemLn,メモ行フラグ,明細行が単に追加の詳細を与えるものであり、転記金額に含めるべきでないことを示すブール値。,gl-bus:amountMemo
1237,4,A,,Allocation Code,xbrli:stringItemType,0..1,,"Code associated with the calculation formula: e.g. (D)ivide by number of periods, (T)otal for period given",gl-cor,0,Entry Detail,CO05a_BU05_24,/CO02a/CO06a/CO05a/CO05a_BU05_24,$.Accounting Entries.Entry Header.Entry Detail.Allocation Code,AccntEntrs.EntryHedr.EntryDetl.AllocCd,配分コード,計算方式に関するコード。例えば、(D)期間数で分割、(T)与えられた期間の合計。,gl-bus:allocationCode
1238,4,A,,Document Type,xbrli:stringItemType,0..1,,"An enumerated field describing the original source document, with invoice, voucher, check and other enumerated entries",gl-cor,0,Entry Detail,CO05a_26,/CO02a/CO06a/CO05a/CO05a_26,$.Accounting Entries.Entry Header.Entry Detail.Document Type,AccntEntrs.EntryHedr.EntryDetl.DocTyp,元文書種別,顧客への請求書、ベンダからの請求書、小切手、その他の列挙値による、元文書の説明。\n[設定値のリスト]\n(check：小切手)、(debit-memo：借方メモ)、(credit-memo：貸方メモ)、(finance-charge：財務費用)、(invoice：顧客への請求書)、(order-customer：顧客オーダ)、(order-vendor：仕入先オーダ)、(payment-other：その他支払い)、(reminder：督促状)、(tegata：手形)、(voucher：ベンダからの請求書)、(shipment：出荷票)、(receipt：受領票)、(manual-adjustment：手修正)、(other：その他),gl-cor:documentType
1239,4,A,,Document Type Description,xbrli:stringItemType,0..1,,Free format description of the document type,gl-cor,0,Entry Detail,CO05a_27,/CO02a/CO06a/CO05a/CO05a_27,$.Accounting Entries.Entry Header.Entry Detail.Document Type Description,AccntEntrs.EntryHedr.EntryDetl.DocTypDscr,元文書種別説明,元文書の種別の説明。,gl-cor:documentTypeDescription
1240,4,A,,Invoice Type,xbrli:stringItemType,0..1,,"Invoice Type  (self-billed, ePoS enumerated values)",gl-cor,0,Entry Detail,CO05a_28,/CO02a/CO06a/CO05a/CO05a_28,$.Accounting Entries.Entry Header.Entry Detail.Invoice Type,AccntEntrs.EntryHedr.EntryDetl.InvoiTyp,請求書種別,請求書の種別。(self-billed、ePoS)\n[設定値のリスト]\n(ePos：POSシステムからの発行)、(self-billed：手動発行),gl-cor:invoiceType
1241,4,A,,Document Number,xbrli:stringItemType,0..1,,"Invoice, check, voucher, or other source document identifier",gl-cor,0,Entry Detail,CO05a_29,/CO02a/CO06a/CO05a/CO05a_29,$.Accounting Entries.Entry Header.Entry Detail.Document Number,AccntEntrs.EntryHedr.EntryDetl.DocNr,元文書番号,請求書、小切手、証憑、その他の元文書の識別子。,gl-cor:documentNumber
1242,4,A,,Apply To Number,xbrli:stringItemType,0..1,,"Document number of primary invoice number, used to offset payments, debits and credits; for an invoice, usually the same as the documentNumber. When calculating open balance on an invoice, or open amount on payments in advance or not fully applied, this permits calculation of the open item.",gl-cor,0,Entry Detail,CO05a_30,/CO02a/CO06a/CO05a/CO05a_30,$.Accounting Entries.Entry Header.Entry Detail.Apply To Number,AccntEntrs.EntryHedr.EntryDetl.ApplyTNr,適用先番号,支払、借方、貸方の相殺に使用される、一次請求書の文書番号。請求書では通常documentNumberと等しい。未決済の請求書残高や、未決済の支払金額の計算時に、利用できる。,gl-cor:documentApplyToNumber
1243,4,A,,Document Reference,xbrli:stringItemType,0..1,,Internal reference for the document above; number assigned internally to track the document,gl-cor,0,Entry Detail,CO05a_31,/CO02a/CO06a/CO05a/CO05a_31,$.Accounting Entries.Entry Header.Entry Detail.Document Reference,AccntEntrs.EntryHedr.EntryDetl.DocRef,元文書参照情報,上の文書のための内部参照情報。文書を追跡するために内部的に割り当てた番号。,gl-cor:documentReference
1244,4,A,,Document Date,xbrli:stringItemType,0..1,,"Date (and less likely in the paper world but possible in the e-world, time) on actual document (invoice, voucher, check date). Other dates control posting information.",gl-cor,0,Entry Detail,CO05a_32,/CO02a/CO06a/CO05a/CO05a_32,$.Accounting Entries.Entry Header.Entry Detail.Document Date,AccntEntrs.EntryHedr.EntryDetl.DocDt,元文書日付,実際の文書（請求書、証憑、小切手）の日付（および、紙の世界ではありそうにないが、電子的には時刻）。 転記の情報は別の日付で管理する。,gl-cor:documentDate
1245,4,A,,Received Date,xbrli:stringItemType,0..1,,Date/time document was noted as received (if necessary). Represents actual date received. Posting dates are maintained separately.,gl-cor,0,Entry Detail,CO05a_BU05_33,/CO02a/CO06a/CO05a/CO05a_BU05_33,$.Accounting Entries.Entry Header.Entry Detail.Received Date,AccntEntrs.EntryHedr.EntryDetl.RcvdDt,元文書受領日付,（必要であれば）文書の受領が記録された日付/時刻。実際に受領された日付をあらわす。転記日付は別に管理される。,gl-bus:documentReceivedDate
1246,4,A,,Chargeable or Reimbursable,xbrli:stringItemType,0..1,,"Is this entry chargeable to client, reimbursable? Used by some systems to indicate that account on posting/validation should be posted to a customer or vendor's account.",gl-cor,0,Entry Detail,CO05a_BU05_34,/CO02a/CO06a/CO05a/CO05a_BU05_34,$.Accounting Entries.Entry Header.Entry Detail.Chargeable or Reimbursable,AccntEntrs.EntryHedr.EntryDetl.ChrgbOrRembr,請求支払可能フラグ,この仕訳は顧客に請求、支払可能か。いくつかのシステムでは転記/検証対象の科目が顧客や仕入先の科目に転記されるべきかどうかを示すために使用される。,gl-bus:documentChargeReimb
1247,4,A,,Document Location,xbrli:stringItemType,0..1,,"Document location as URI, file name or other reference. Alternatively, text of document can be placed here.",gl-cor,0,Entry Detail,CO05a_BU05_35,/CO02a/CO06a/CO05a/CO05a_BU05_35,$.Accounting Entries.Entry Header.Entry Detail.Document Location,AccntEntrs.EntryHedr.EntryDetl.DocLct,元文書格納場所,文書の格納場所である、URI、ファイル名またはその他の参照情報。代わりに、文書のテキストも記述可能。,gl-bus:documentLocation
1248,4,A,,Payment Method,xbrli:stringItemType,0..1,,Method used or to be used to make the payment,gl-cor,0,Entry Detail,CO05a_BU05_36,/CO02a/CO06a/CO05a/CO05a_BU05_36,$.Accounting Entries.Entry Header.Entry Detail.Payment Method,AccntEntrs.EntryHedr.EntryDetl.PayMethd,支払方法,支払いのために使用された、または使用される方法。,gl-bus:paymentMethod
1249,4,A,,Posting Status,xbrli:stringItemType,0..1,,"deferred: although entered, it cannot be posted until a later time\nposted: already posted\nproposed: a proposed item that must be approved\nsimulated: a simulated item, for what-if\ntax: a tax-specific entry\nunposted:entered but not yet posted or validated\ncancelled:entered and later cancelled\nother:other status - should be described in postingStatusDescription",gl-cor,0,Entry Detail,CO05a_37,/CO02a/CO06a/CO05a/CO05a_37,$.Accounting Entries.Entry Header.Entry Detail.Posting Status,AccntEntrs.EntryHedr.EntryDetl.PstngStat,転記状態,・据置：入力されたが、まだ転記できない。\n・転記済：転記済み。\n・提案済：検証が必要な項目。\n・シミュレーション：仮定のためにシミュレートされた項目。\n・税：税項目。\n・未転記：入力されたが、まだ検証も転記もされていない。\n・取消済：入力されたが、取り消された。\n・その他：その他の状態。postingStatusDescriptionで説明されるべき。\n[設定値のリスト]\n(deferred：据置)、(posted：転記済)、(proposed：提案済)、(simulated：シミュレーション)、(tax：税)、(unposted：未転記)、(cancelled：取消済)、(other：その他),gl-cor:postingStatus
1250,4,A,,Posting Status Description,xbrli:stringItemType,0..1,,Free format description of the posting status,gl-cor,0,Entry Detail,CO05a_38,/CO02a/CO06a/CO05a/CO05a_38,$.Accounting Entries.Entry Header.Entry Detail.Posting Status Description,AccntEntrs.EntryHedr.EntryDetl.PstngStatDscr,転記状態説明,転記状態の説明。,gl-cor:postingStatusDescription
1251,4,A,,Description,xbrli:stringItemType,0..1,,Description of this line of detail only,gl-cor,0,Entry Detail,CO05a_40,/CO02a/CO06a/CO05a/CO05a_40,$.Accounting Entries.Entry Header.Entry Detail.Description,AccntEntrs.EntryHedr.EntryDetl.Dscr,説明,この明細行のみに対する説明。,gl-cor:detailComment
1252,4,A,,Acknowledgement Date,xbrli:stringItemType,0..1,,Date of acknowledgement of goods/services shipped/received.,gl-cor,0,Entry Detail,CO05a_41,/CO02a/CO06a/CO05a/CO05a_41,$.Accounting Entries.Entry Header.Entry Detail.Acknowledgement Date,AccntEntrs.EntryHedr.EntryDetl.AcknwDt,承認日付,出荷/受領済みの物品/サービスを承認した日付。,gl-cor:dateAcknowledged
1253,4,A,,Confirmation Date,xbrli:stringItemType,0..1,,Date of confirmation of shipment/receipt.,gl-cor,0,Entry Detail,CO05a_42,/CO02a/CO06a/CO05a/CO05a_42,$.Accounting Entries.Entry Header.Entry Detail.Confirmation Date,AccntEntrs.EntryHedr.EntryDetl.CnfrmDt,確認日付,出荷/受領を確認した日付。,gl-cor:confirmedDate
1254,4,A,,Ship From,xbrli:stringItemType,0..1,,References organizationAddressLocationIdentifier where used. Otherwise freeform.,gl-cor,0,Entry Detail,CO05a_43,/CO02a/CO06a/CO05a/CO05a_43,$.Accounting Entries.Entry Header.Entry Detail.Ship From,AccntEntrs.EntryHedr.EntryDetl.ShpFrm,出荷元,organizationAddressLocationIdentifierの参照情報。または自由記述。,gl-cor:shipFrom
1255,4,A,,Date Shipped/Received,xbrli:stringItemType,0..1,,Date goods/services are shipped/received.,gl-cor,0,Entry Detail,CO05a_44,/CO02a/CO06a/CO05a/CO05a_44,$.Accounting Entries.Entry Header.Entry Detail.Date Shipped/Received,AccntEntrs.EntryHedr.EntryDetl.DtShppd,出荷/受領日付,物品/サービスを出荷/受領した日付。,gl-cor:shipReceivedDate
1256,4,A,,Maturity Date or Date Due,xbrli:stringItemType,0..1,,Due date or other maturity date.,gl-cor,0,Entry Detail,CO05a_45,/CO02a/CO06a/CO05a/CO05a_45,$.Accounting Entries.Entry Header.Entry Detail.Maturity Date or Date Due,AccntEntrs.EntryHedr.EntryDetl.MatrtDtOrDtD,支払期日,支払期日やその他の期日。,gl-cor:maturityDate
1257,4,A,,Payment Terms,xbrli:stringItemType,0..1,,Discount/payment terms.,gl-cor,0,Entry Detail,CO05a_46,/CO02a/CO06a/CO05a/CO05a_46,$.Accounting Entries.Entry Header.Entry Detail.Payment Terms,AccntEntrs.EntryHedr.EntryDetl.PayTerms,支払条件,割引/支払い条件。,gl-cor:terms
1258,4,A,,Ticking Field,xbrli:stringItemType,0..1,,"Signifies that an item has been cleared, finished, finalized. When checking accounts are called for, the tick or letter showing this was done appears in this field. Can also be used for identifying that the\noriginal document against which a payment or DR/CR memo applies has been reconciled.",gl-cor,0,Entry Detail,CO05a_TA05_47,/CO02a/CO06a/CO05a/CO05a_TA05_47,$.Accounting Entries.Entry Header.Entry Detail.Ticking Field,AccntEntrs.EntryHedr.EntryDetl.TckngFld,チェック欄,項目が消去または完了されたことを示す。勘定のチェックが要求される場合、処理済を示すチェックマークまたは文字が指定される。支払またはDR/CRのメモに対する元文書が、消し込まれたことを確認するためにも使用可能。,gl-taf:tickingField
1259,4,A,,Document Remaining Balance,xbrli:stringItemType,0..1,,Balance remaining on the document,gl-cor,0,Entry Detail,CO05a_TA05_48,/CO02a/CO06a/CO05a/CO05a_TA05_48,$.Accounting Entries.Entry Header.Entry Detail.Document Remaining Balance,AccntEntrs.EntryHedr.EntryDetl.DocRmngBal,文書上残高,文書上の残高。,gl-taf:documentRemainingBalance
1260,4,A,,UCR,xbrli:stringItemType,0..1,,"Unique Consignment Reference or UCR. An ""origin to destination"" reference code for international consignments, developed in cooperation with the World Customs Organization and EAN International (EAN). (http://www.wcoomd.org/ie/EN/press/UCR_new_e.pdf)",gl-cor,0,Entry Detail,CO05a_TA05_49,/CO02a/CO06a/CO05a/CO05a_TA05_49,$.Accounting Entries.Entry Header.Entry Detail.UCR,AccntEntrs.EntryHedr.EntryDetl.Ucr,UCRコード,"Unique Consignment ReferenceまたはUCR。国際委託販売のための""origin to destination""参照コード。World Customs OrganizationとEAN International (EAN)が共同で開発している。\n(http://www.wcoomd.org/ie/EN/press/UCR_new_e.pdf)",gl-taf:uniqueConsignmentReference
1261,4,C,,Multicurrency Amount,,0..1,,Section to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This structure allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This structure may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,gl-cor,0,Multicurrency Amount,MC01a,/CO02a/CO06a/CO05a/MC01a,$.Accounting Entries.Entry Header.Entry Detail.Multicurrency Amount,AccntEntrs.EntryHedr.EntryDetl.MltcrAmt,【多通貨明細】,原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のセクション。－現在および原取引時の、換算レートおよび金額の記録に使用される。\nトライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。,gl-muc:multicurrencyDetail
1262,5,A,,Date of Exchange Rate,xbrli:stringItemType,0..1,,Date of exchange rate (other than original transaction date) on which amount is expressed as amountRestatedAmount or amountTriangulationAmount,gl-cor,0,Multicurrency Amount,MC01a_01,/CO02a/CO06a/CO05a/MC01a_01,$.Accounting Entries.Entry Header.Entry Detail.Multicurrency Amount.Date of Exchange Rate,AccntEntrs.EntryHedr.EntryDetl.MltcrAmt.DtOfExchnRat,換算レート日付,（原取引の日付ではなく）、amountRestatedAmountまたはamountTriangulationAmountが示された換算レートの日付。,gl-muc:multicurrencyDetailExchangeRateDate
1263,5,A,,Restated Amount,xbrli:stringItemType,0..1,,The amount in the foreign currency identified by amountRestatedCurrency as of multicurrencyDetailExchangeRateDate.,gl-cor,0,Multicurrency Amount,MC01a_02,/CO02a/CO06a/CO05a/MC01a_02,$.Accounting Entries.Entry Header.Entry Detail.Multicurrency Amount.Restated Amount,AccntEntrs.EntryHedr.EntryDetl.MltcrAmt.ResttAmt,換算額,amountRestatedCurrencyで指定された外貨での、multicurrencyDetailExchangeRateDate時点の、換算額。,gl-muc:amountRestatedAmount
1264,5,A,,Restated Currency,xbrli:stringItemType,0..1,,The currency in which amountRestatedAmount is expressed. Recommended ISO 4217 coding.,gl-cor,0,Multicurrency Amount,MC01a_03,/CO02a/CO06a/CO05a/MC01a_03,$.Accounting Entries.Entry Header.Entry Detail.Multicurrency Amount.Restated Currency,AccntEntrs.EntryHedr.EntryDetl.MltcrAmt.ResttCur,換算通貨,amountRestatedAmountで使用される通貨。ISO4217コードを推奨。,gl-muc:amountRestatedCurrency
1265,5,A,,Restated Exchange Rate,xbrli:stringItemType,0..1,,Exchange rate used to convert amountRestatedAmount as of multicurrencyDetailExchangeRateDate (expressed as national currency divided by foreign currency),gl-cor,0,Multicurrency Amount,MC01a_04,/CO02a/CO06a/CO05a/MC01a_04,$.Accounting Entries.Entry Header.Entry Detail.Multicurrency Amount.Restated Exchange Rate,AccntEntrs.EntryHedr.EntryDetl.MltcrAmt.ResttExchnRat,換算レート,amountRestatedAmountの算出に用いられた、multicurrencyDetailExchangeRateDate時点の換算レート。（自国通貨を外貨通貨で割った値）\n,gl-muc:amountRestatedExchangeRate
1266,5,A,,Restated Exchange Rate Source,xbrli:stringItemType,0..1,,"Source of Exchange Rate for restated amount - for example, Reuters, Bloomberg",gl-cor,0,Multicurrency Amount,MC01a_05,/CO02a/CO06a/CO05a/MC01a_05,$.Accounting Entries.Entry Header.Entry Detail.Multicurrency Amount.Restated Exchange Rate Source,AccntEntrs.EntryHedr.EntryDetl.MltcrAmt.ResttExchnRatSrc,換算レート情報源,"外貨換算額の換算レートの情報源。たとえば、Reuters, Bloomberg。",gl-muc:amountRestatedExchangeRateSource
1267,5,A,,Restated Exchange Rate Type,xbrli:stringItemType,0..1,,"Type of Exchange Rate for restated amount - for example, spot rate, forward contract etc.",gl-cor,0,Multicurrency Amount,MC01a_06,/CO02a/CO06a/CO05a/MC01a_06,$.Accounting Entries.Entry Header.Entry Detail.Multicurrency Amount.Restated Exchange Rate Type,AccntEntrs.EntryHedr.EntryDetl.MltcrAmt.ResttExchnRatTyp,換算レート種別,外貨換算額の換算レートの種別。たとえば、スポット・レート、先物など。,gl-muc:amountRestatedExchangeRateType
1268,5,A,,Triangulation Amount,xbrli:stringItemType,0..1,,The amount in the triangulation currency identified by amountTriangulationCurrency as of multicurrencyDetailExchangeRateDate.,gl-cor,0,Multicurrency Amount,MC01a_07,/CO02a/CO06a/CO05a/MC01a_07,$.Accounting Entries.Entry Header.Entry Detail.Multicurrency Amount.Triangulation Amount,AccntEntrs.EntryHedr.EntryDetl.MltcrAmt.TrnglAmt,トライアンギュレーション通貨換算額,amountTriangulationCurrencyで指定されたトライアンギュレーション通貨での、multicurrencyDetailExchangeRateDate時点の換算額。,gl-muc:amountTriangulationAmount
1269,5,A,,Triangulation Currency,xbrli:stringItemType,0..1,,The currency used for tringulation between amountRestatedCurrency and the home currency. Recommended ISO 4217 coding.,gl-cor,0,Multicurrency Amount,MC01a_08,/CO02a/CO06a/CO05a/MC01a_08,$.Accounting Entries.Entry Header.Entry Detail.Multicurrency Amount.Triangulation Currency,AccntEntrs.EntryHedr.EntryDetl.MltcrAmt.TrnglCur,トライアンギュレーション通貨,amountRestatedCurrencyと自国通貨間のトライアンギュレーション取引で使用される通貨。ISO4217コードを推奨。,gl-muc:amountTriangulationCurrency
1270,5,A,,National to Triangulation Exchange Rate,xbrli:stringItemType,0..1,,Exchange rate used to convert amountTriangulationAmount as of multicurrencyDetailExchangeRateDate (expressed as national currency divided by triangulation currency),gl-cor,0,Multicurrency Amount,MC01a_09,/CO02a/CO06a/CO05a/MC01a_09,$.Accounting Entries.Entry Header.Entry Detail.Multicurrency Amount.National to Triangulation Exchange Rate,AccntEntrs.EntryHedr.EntryDetl.MltcrAmt.NatnlTTrnglExchnRat,トライアンギュレーション通貨換算レート,amountTriangulationAmountの算出に用いられた、multicurrencyDetailExchangeRateDate時点の換算レート。（自国通貨をトライアンギュレーション通貨で割った値）,gl-muc:amountTriangulationExchangeRate
1271,5,A,,National to Triangulation Exchange Rate Source,xbrli:stringItemType,0..1,,"Source of Exchange Rate for triangulation amount - for example, Reuters, Bloomberg",gl-cor,0,Multicurrency Amount,MC01a_10,/CO02a/CO06a/CO05a/MC01a_10,$.Accounting Entries.Entry Header.Entry Detail.Multicurrency Amount.National to Triangulation Exchange Rate Source,AccntEntrs.EntryHedr.EntryDetl.MltcrAmt.NatnlTTrnglExchnRatSrc,トライアンギュレーション通貨換算レート情報源,"トライアンギュレーション通貨換算額の換算レートの情報源。たとえば、Reuters, Bloomberg。",gl-muc:amountTriangulationExchangeRateSource
1272,5,A,,National to Triangulation Exchange Rate Type,xbrli:stringItemType,0..1,,"Type of Exchange Rate for triangulation amount - for example, spot rate, forward contract etc.",gl-cor,0,Multicurrency Amount,MC01a_11,/CO02a/CO06a/CO05a/MC01a_11,$.Accounting Entries.Entry Header.Entry Detail.Multicurrency Amount.National to Triangulation Exchange Rate Type,AccntEntrs.EntryHedr.EntryDetl.MltcrAmt.NatnlTTrnglExchnRatTyp,トライアンギュレーション通貨換算レート種別,トライアンギュレーション通貨換算額の換算レートの種別。たとえば、スポット・レート、先物など。,gl-muc:amountTriangulationExchangeRateType
1273,5,A,,Restated to Triangulation Exchange Rate,xbrli:stringItemType,0..1,,Exchange rate used to convert from amountRestatedAmount to amountTriangulationAmount as of multicurrencyDetailExchangeRateDate (expressed as foreign currency divided by triangulation currency),gl-cor,0,Multicurrency Amount,MC01a_12,/CO02a/CO06a/CO05a/MC01a_12,$.Accounting Entries.Entry Header.Entry Detail.Multicurrency Amount.Restated to Triangulation Exchange Rate,AccntEntrs.EntryHedr.EntryDetl.MltcrAmt.ResttTTrnglExchnRat,換算通貨トライアンギュレーション通貨換算レート,amountRestatedAmountからamountTriangulationAmountへの、multicurrencyDetailExchangeRateDate時点の換算レート。（外貨通貨をトライアンギュレーション通貨で割った値）,gl-muc:restatedTriangulationExchangeRate
1274,5,A,,Restated to Triangulation Exchange Rate Source,xbrli:stringItemType,0..1,,"Source of Exchange Rate for converting between foreign currency and triangulation currency - for example, Reuters, Bloomberg",gl-cor,0,Multicurrency Amount,MC01a_13,/CO02a/CO06a/CO05a/MC01a_13,$.Accounting Entries.Entry Header.Entry Detail.Multicurrency Amount.Restated to Triangulation Exchange Rate Source,AccntEntrs.EntryHedr.EntryDetl.MltcrAmt.ResttTTrnglExchnRatSrc,換算通貨トライアンギュレーション通貨換算レート情報源,"外貨通貨とトライアンギュレーション通貨の間の換算レートの情報源。たとえば、Reuters, Bloomberg。",gl-muc:restatedExchangeRateTriangulationSource
1275,5,A,,Restated to Triangulation Exchange Rate Type,xbrli:stringItemType,0..1,,"Type of Exchange Rate for converting between foreign currency and triangulation currency - for example, spot rate, forward contract etc.",gl-cor,0,Multicurrency Amount,MC01a_14,/CO02a/CO06a/CO05a/MC01a_14,$.Accounting Entries.Entry Header.Entry Detail.Multicurrency Amount.Restated to Triangulation Exchange Rate Type,AccntEntrs.EntryHedr.EntryDetl.MltcrAmt.ResttTTrnglExchnRatTyp,換算通貨トライアンギュレーション通貨換算レート種別,外貨通貨とトライアンギュレーション通貨の間の換算レートの種別。たとえば、スポット・レート、先物など。,gl-muc:restatedExchangeRateTriangulationType
1276,5,A,,Multicurrency Detail Comment,xbrli:stringItemType,0..1,,Comment describing the enclosing multicurrencyDetail tuple's contents. May include reason for recording additional exchange rates other than that used at the time of the original transaction.,gl-cor,0,Multicurrency Amount,MC01a_15,/CO02a/CO06a/CO05a/MC01a_15,$.Accounting Entries.Entry Header.Entry Detail.Multicurrency Amount.Multicurrency Detail Comment,AccntEntrs.EntryHedr.EntryDetl.MltcrAmt.MltcrDetlCmmnt,多通貨明細コメント,multicurrencyDetailの内容のコメント。原取引時以外の、追加の換算レートを記録する理由などを記述。,gl-muc:multicurrencyDetailComment
1277,4,C,,XBRL Information,,0..1,,This will roll up to XBRL reporting information - this is a parent - repeatable so that the same item can be reported through many taxonomies. Care should be taken to consider what happens if people post to the same account but different XBRL elements.,gl-cor,0,XBRL Information,CO12a,/CO02a/CO06a/CO05a/CO12a,$.Accounting Entries.Entry Header.Entry Detail.XBRL Information,AccntEntrs.EntryHedr.EntryDetl.XbrlInfrm,【XBRL情報】,XBRLレポート情報へのロールアップ情報。親タグであり、同じ項目が複数のタクソノミを通じて報告されうるように繰り返し可能。同一の勘定科目を異なるXBRL要素に転記した場合にどうなるか、注意深く考慮すべきである。,gl-cor:xbrlInfo
1278,5,A,,XBRL Allocation,xbrli:stringItemType,0..1,,"Indicates that the information being given is beginning_balance, ending_balance, period_change.",gl-cor,0,XBRL Information,CO12a_01,/CO02a/CO06a/CO05a/CO12a_01,$.Accounting Entries.Entry Header.Entry Detail.XBRL Information.XBRL Allocation,AccntEntrs.EntryHedr.EntryDetl.XbrlInfrm.XbrlAlloc,XBRL割当,与えられた情報が、期首残高、期末残高、期中増減のいずれであるかを示す。\n[設定値のリスト]\n(beginning_balance：期首残高)、(ending_balance：期末残高)、(period_change：期中増減),gl-cor:xbrlInclude
1279,5,A,,Summary Reporting Element,xbrli:stringItemType,0..1,,Associated XBRL element or XML element within an XML taxonomy - mapping to an XBRL concept.,gl-cor,0,XBRL Information,CO12a_02,/CO02a/CO06a/CO05a/CO12a_02,$.Accounting Entries.Entry Header.Entry Detail.XBRL Information.Summary Reporting Element,AccntEntrs.EntryHedr.EntryDetl.XbrlInfrm.SmmryRprtElmnt,集約報告エレメント,関係付けられた、XMLタクソノミ中のXBRL要素または、XML要素。XBRLコンセプトへのマッピング。,gl-cor:summaryReportingElement
1280,5,A,,Detail Matching Element,xbrli:stringItemType,0..1,,Associated XBRL element in XBRL-GL instance.,gl-cor,0,XBRL Information,CO12a_03,/CO02a/CO06a/CO05a/CO12a_03,$.Accounting Entries.Entry Header.Entry Detail.XBRL Information.Detail Matching Element,AccntEntrs.EntryHedr.EntryDetl.XbrlInfrm.DetlMatchElmnt,明細対応エレメント,関係付けられた、XBRL-GLインスタンス中のXBRL要素。,gl-cor:detailMatchingElement
1281,4,C,,Job,,0..1,,"Tuple for holding job related information, separate from jobs represented in account identifier. Would probably only have one jobinfo tuple for each entry line, but there may be a need to express more than one.",gl-cor,0,Job,BU04a,/CO02a/CO06a/CO05a/BU04a,$.Accounting Entries.Entry Header.Entry Detail.Job,AccntEntrs.EntryHedr.EntryDetl.Jb,【ジョブ情報】,科目識別子で表現されるジョブとは別の、ジョブに関係する情報のタプル。個々の明細行に対してひとつだけ存在すると思われるが、複数必要かもしれない。,gl-bus:jobInfo
1282,5,A,,Job Identifier,xbrli:stringItemType,0..1,,"Associated job number or code. This could be built into the account, but many systems maintain a separate job coding system. Use primarily if job identification is a separate system, and not considered part of the chart of accounts.",gl-cor,0,Job,BU04a_UK04_01,/CO02a/CO06a/CO05a/BU04a_UK04_01,$.Accounting Entries.Entry Header.Entry Detail.Job.Job Identifier,AccntEntrs.EntryHedr.EntryDetl.Jb.JbIdntf,ジョブ識別子,関連するジョブ番号かジョブコード。 科目に組み込めるかもしれないが、多くのシステムでは独立したジョブコードシステムを持っている。おもに、ジョブの識別が別システムであり、科目体系に含まれないときに使用される。,gl-usk:jobCode
1283,5,A,,Job Description,xbrli:stringItemType,0..1,,Description of job,gl-cor,0,Job,BU04a_UK04_02,/CO02a/CO06a/CO05a/BU04a_UK04_02,$.Accounting Entries.Entry Header.Entry Detail.Job.Job Description,AccntEntrs.EntryHedr.EntryDetl.Jb.JbDscr,ジョブ説明,ジョブの説明。,gl-usk:jobDescription
1284,5,A,,Job Phase,xbrli:stringItemType,0..1,,"Job code, phase, activity. Allows greater granularity than a simple job number. Although the core only reaches down from job to phases, this can be customized to extend down to cost codes.",gl-cor,0,Job,BU04a_UK04_03,/CO02a/CO06a/CO05a/BU04a_UK04_03,$.Accounting Entries.Entry Header.Entry Detail.Job.Job Phase,AccntEntrs.EntryHedr.EntryDetl.Jb.JbPhs,ジョブフェーズ,ジョブコード、フェーズ、活動。 簡単なジョブ番号より詳細な定義が可能。基本的には、ジョブからフェーズを導くのみだが、コストコードにまでいたるように拡張可能。,gl-usk:jobPhaseCode
1285,5,A,,Job Phase Description,xbrli:stringItemType,0..1,,"Description of Job code, phase, activity",gl-cor,0,Job,BU04a_UK04_04,/CO02a/CO06a/CO05a/BU04a_UK04_04,$.Accounting Entries.Entry Header.Entry Detail.Job.Job Phase Description,AccntEntrs.EntryHedr.EntryDetl.Jb.JbPhsDscr,ジョブフェーズ説明,ジョブコード、フェーズ、活動の説明。,gl-usk:jobPhaseDescription
1286,4,C,,Depreciation Mortgage,,0..1,,"Parent for information related to depreciation, mortgages, etc.",gl-cor,0,Depreciation Mortgage,BU03a,/CO02a/CO06a/CO05a/BU03a,$.Accounting Entries.Entry Header.Entry Detail.Depreciation Mortgage,AccntEntrs.EntryHedr.EntryDetl.DepreMrtgg,【減価償却/抵当債務情報】,減価償却、抵当債務等に関連する情報の親タグ。,gl-bus:depreciationMortgage
